sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,content
322,902,14,678,490,385,132,566,isopropyl
320,898,27,682,489,391,125,568,isopropyl
324,901,16,682,486,394,132,563,isopropyl
311,895,16,681,491,394,131,564,isopropyl
324,901,13,678,492,388,135,565,isopropyl
323,902,18,678,492,395,132,565,isopropyl
322,901,39,679,495,394,132,564,isopropyl
322,898,13,679,495,391,132,566,isopropyl
322,899,13,680,492,395,132,559,isopropyl
323,902,15,680,491,394,133,564,isopropyl
325,905,14,679,492,392,133,565,isopropyl
325,903,14,680,491,392,133,567,isopropyl
322,901,14,673,492,390,131,567,isopropyl
326,900,8,677,497,392,129,565,isopropyl
322,906,13,677,495,392,146,567,isopropyl
327,901,14,681,491,392,132,569,isopropyl
327,901,17,677,491,392,134,566,isopropyl
325,900,13,678,492,392,140,558,isopropyl
323,899,15,677,491,392,134,565,isopropyl
326,899,15,675,494,393,135,567,isopropyl
325,899,19,678,486,393,137,571,isopropyl
328,897,15,677,486,393,133,568,isopropyl
322,901,16,677,494,395,134,588,isopropyl
332,894,14,676,495,393,133,567,isopropyl
327,899,12,676,492,393,135,568,isopropyl
327,899,14,676,495,393,138,567,isopropyl
328,901,12,675,491,394,135,568,isopropyl
326,895,15,678,492,394,133,564,isopropyl
326,905,15,677,491,392,135,569,isopropyl
331,901,13,677,498,393,136,575,isopropyl
329,899,8,675,485,394,133,569,isopropyl
327,899,18,672,492,393,136,569,isopropyl
322,898,14,678,489,397,138,569,isopropyl
327,895,15,675,491,393,140,570,isopropyl
327,897,9,674,492,393,124,570,isopropyl
322,894,12,677,485,395,135,567,isopropyl
328,888,13,676,491,393,135,567,isopropyl
327,899,13,676,483,394,133,570,isopropyl
332,898,14,675,492,397,130,567,isopropyl
330,894,15,677,491,393,136,563,isopropyl
328,894,14,673,492,394,135,559,isopropyl
328,898,14,679,493,393,138,575,isopropyl
328,896,15,675,488,398,136,570,isopropyl
326,900,14,675,492,395,137,566,isopropyl
328,897,15,674,493,393,136,569,isopropyl
332,902,14,675,498,388,137,569,isopropyl
329,896,14,674,490,394,130,583,isopropyl
327,894,14,672,491,393,140,570,isopropyl
330,897,15,675,493,393,138,570,isopropyl
327,900,13,675,492,394,138,570,isopropyl
326,894,15,675,489,393,137,573,isopropyl
332,896,14,670,492,416,149,571,isopropyl
330,897,3,674,491,394,138,570,isopropyl
333,895,13,680,493,396,138,574,isopropyl
332,898,16,673,487,393,133,569,isopropyl
330,899,8,696,492,394,139,570,isopropyl
329,894,14,676,492,395,135,572,isopropyl
329,896,16,675,495,395,137,571,isopropyl
331,893,14,675,492,399,137,568,isopropyl
332,897,15,685,492,389,135,570,isopropyl
331,894,13,674,488,405,140,589,isopropyl
330,894,15,671,491,398,150,569,isopropyl
332,896,13,681,493,396,140,571,isopropyl
327,892,14,669,492,398,138,571,isopropyl
332,893,14,673,485,394,140,581,isopropyl
339,898,14,672,489,417,155,570,isopropyl
330,897,14,677,491,392,138,568,isopropyl
