MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
0.0,0.0,3.0,154.0,158.0,0.0,0.0
1.0,0.0,0.0,155.0,157.0,12.0,0.0
1.0,2.0,0.0,153.0,157.0,0.0,0.0
1.0,0.0,5.0,154.0,155.0,0.0,0.0
0.0,2.0,8.0,154.0,157.0,6.0,8.0
8.0,0.0,0.0,153.0,158.0,0.0,0.0
5.0,0.0,12.0,154.0,157.0,2.0,0.0
0.0,0.0,0.0,153.0,157.0,0.0,0.0
23.0,0.0,2.0,154.0,158.0,0.0,0.0
0.0,0.0,0.0,155.0,148.0,0.0,0.0
2.0,4.0,0.0,152.0,158.0,0.0,1.0
9.0,0.0,0.0,148.0,157.0,0.0,0.0
1.0,1.0,0.0,155.0,158.0,3.0,0.0
2.0,1.0,0.0,154.0,157.0,0.0,0.0
0.0,0.0,0.0,147.0,157.0,0.0,15.0
3.0,3.0,1.0,157.0,159.0,9.0,0.0
1.0,2.0,0.0,153.0,156.0,0.0,0.0
2.0,0.0,0.0,154.0,158.0,0.0,9.0
0.0,3.0,0.0,174.0,156.0,0.0,0.0
0.0,0.0,3.0,155.0,158.0,0.0,0.0
0.0,0.0,0.0,154.0,179.0,6.0,1.0
2.0,2.0,3.0,156.0,159.0,0.0,0.0
8.0,0.0,0.0,156.0,163.0,0.0,0.0
0.0,0.0,0.0,153.0,159.0,0.0,0.0
0.0,1.0,0.0,153.0,157.0,0.0,3.0
1.0,1.0,0.0,154.0,165.0,0.0,0.0
1.0,0.0,3.0,153.0,157.0,0.0,0.0
0.0,3.0,0.0,155.0,159.0,0.0,1.0
1.0,2.0,0.0,156.0,157.0,0.0,0.0
1.0,20.0,2.0,154.0,162.0,0.0,7.0
0.0,0.0,0.0,156.0,157.0,0.0,0.0
8.0,2.0,0.0,151.0,157.0,2.0,0.0
9.0,0.0,0.0,156.0,163.0,0.0,3.0
2.0,5.0,0.0,154.0,157.0,0.0,0.0
1.0,0.0,0.0,154.0,159.0,0.0,2.0
1.0,1.0,0.0,155.0,158.0,0.0,3.0
9.0,0.0,2.0,153.0,158.0,0.0,0.0
0.0,0.0,0.0,156.0,157.0,0.0,5.0
0.0,0.0,2.0,154.0,174.0,0.0,0.0
0.0,0.0,0.0,167.0,157.0,1.0,9.0
2.0,2.0,0.0,153.0,157.0,0.0,0.0
0.0,0.0,0.0,155.0,156.0,2.0,0.0
1.0,0.0,0.0,152.0,157.0,0.0,0.0
2.0,0.0,0.0,156.0,157.0,0.0,2.0
1.0,0.0,0.0,154.0,158.0,0.0,2.0
