MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
0.0,0.0,0.0,153.0,156.0,0.0,3.0
0.0,0.0,0.0,154.0,158.0,0.0,4.0
0.0,0.0,0.0,155.0,158.0,0.0,2.0
0.0,0.0,4.0,154.0,158.0,24.0,0.0
0.0,0.0,0.0,157.0,162.0,0.0,0.0
0.0,0.0,0.0,155.0,157.0,0.0,24.0
0.0,0.0,0.0,153.0,159.0,0.0,0.0
0.0,0.0,0.0,155.0,158.0,0.0,0.0
2.0,0.0,0.0,157.0,157.0,0.0,0.0
0.0,1.0,1.0,154.0,153.0,0.0,0.0
0.0,0.0,0.0,155.0,146.0,0.0,0.0
0.0,0.0,0.0,155.0,155.0,0.0,1.0
0.0,0.0,1.0,148.0,156.0,0.0,0.0
4.0,0.0,0.0,152.0,158.0,0.0,0.0
0.0,0.0,0.0,155.0,158.0,0.0,15.0
0.0,0.0,0.0,159.0,157.0,0.0,0.0
1.0,0.0,5.0,154.0,158.0,0.0,0.0
0.0,1.0,0.0,154.0,158.0,0.0,0.0
0.0,0.0,20.0,154.0,159.0,0.0,0.0
0.0,2.0,0.0,155.0,157.0,0.0,3.0
0.0,0.0,0.0,155.0,157.0,0.0,0.0
1.0,0.0,0.0,156.0,157.0,0.0,13.0
0.0,0.0,0.0,155.0,153.0,0.0,2.0
1.0,0.0,0.0,158.0,158.0,0.0,8.0
0.0,9.0,0.0,158.0,159.0,0.0,1.0
0.0,0.0,2.0,170.0,156.0,0.0,0.0
1.0,0.0,3.0,156.0,157.0,0.0,0.0
0.0,0.0,0.0,154.0,161.0,0.0,11.0
0.0,0.0,0.0,156.0,162.0,0.0,1.0
0.0,0.0,0.0,154.0,159.0,0.0,0.0
0.0,0.0,0.0,156.0,157.0,0.0,6.0
0.0,1.0,0.0,151.0,157.0,0.0,0.0
0.0,0.0,0.0,156.0,145.0,0.0,1.0
0.0,0.0,2.0,154.0,157.0,0.0,0.0
19.0,0.0,0.0,154.0,156.0,0.0,0.0
4.0,0.0,2.0,155.0,180.0,0.0,1.0
0.0,0.0,0.0,155.0,159.0,0.0,0.0
1.0,0.0,0.0,158.0,157.0,0.0,0.0
0.0,1.0,0.0,150.0,179.0,3.0,8.0
0.0,2.0,0.0,155.0,158.0,0.0,0.0
