MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4,Stage
0.0,0.0,0.0,154.0,160.0,0.0,2.0,Cleaning
0.0,0.0,0.0,154.0,161.0,7.0,1.0,Cleaning
0.0,2.0,1.0,152.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,153.0,157.0,1.0,0.0,Cleaning
2.0,0.0,0.0,155.0,157.0,0.0,0.0,Cleaning
1.0,0.0,4.0,152.0,158.0,3.0,10.0,Cleaning
2.0,0.0,0.0,141.0,156.0,0.0,0.0,Cleaning
0.0,0.0,7.0,155.0,158.0,0.0,15.0,Cleaning
1.0,0.0,0.0,158.0,157.0,0.0,1.0,Cleaning
2.0,0.0,4.0,153.0,157.0,2.0,2.0,Cleaning
0.0,2.0,0.0,161.0,163.0,1.0,0.0,Cleaning
2.0,4.0,19.0,154.0,156.0,0.0,1.0,Cleaning
2.0,0.0,0.0,164.0,157.0,0.0,1.0,Cleaning
2.0,4.0,0.0,155.0,181.0,0.0,4.0,Cleaning
0.0,1.0,0.0,153.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,158.0,0.0,3.0,Cleaning
0.0,2.0,2.0,156.0,162.0,0.0,3.0,Cleaning
7.0,0.0,0.0,149.0,160.0,1.0,0.0,Cleaning
0.0,0.0,0.0,154.0,150.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,170.0,0.0,2.0,Cleaning
0.0,0.0,0.0,153.0,159.0,1.0,0.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,162.0,0.0,2.0,Cleaning
0.0,2.0,0.0,166.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,158.0,158.0,4.0,0.0,Cleaning
1.0,2.0,0.0,154.0,182.0,0.0,0.0,Cleaning
1.0,0.0,4.0,154.0,157.0,0.0,0.0,Cleaning
0.0,2.0,0.0,155.0,180.0,0.0,0.0,Cleaning
