MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
2.0,0.0,0.0,155.0,158.0,5.0,0.0
0.0,28.0,5.0,154.0,157.0,1.0,0.0
2.0,0.0,1.0,156.0,148.0,0.0,0.0
1.0,1.0,0.0,154.0,161.0,0.0,6.0
0.0,0.0,0.0,153.0,160.0,0.0,1.0
4.0,2.0,0.0,152.0,158.0,3.0,0.0
1.0,0.0,0.0,151.0,158.0,30.0,14.0
1.0,0.0,0.0,154.0,158.0,1.0,4.0
8.0,0.0,0.0,153.0,158.0,2.0,0.0
0.0,10.0,0.0,158.0,157.0,0.0,0.0
0.0,9.0,2.0,153.0,155.0,10.0,0.0
0.0,0.0,0.0,155.0,166.0,0.0,0.0
2.0,0.0,0.0,152.0,157.0,0.0,0.0
1.0,2.0,0.0,154.0,159.0,1.0,0.0
1.0,1.0,0.0,153.0,157.0,0.0,0.0
0.0,3.0,0.0,162.0,159.0,0.0,5.0
1.0,0.0,5.0,153.0,154.0,1.0,0.0
0.0,0.0,2.0,151.0,157.0,0.0,1.0
3.0,0.0,0.0,152.0,156.0,0.0,0.0
2.0,1.0,0.0,153.0,157.0,0.0,0.0
1.0,0.0,1.0,155.0,158.0,0.0,0.0
20.0,0.0,0.0,150.0,158.0,0.0,0.0
1.0,0.0,0.0,154.0,157.0,0.0,0.0
1.0,1.0,0.0,168.0,158.0,0.0,0.0
0.0,2.0,0.0,152.0,157.0,0.0,0.0
1.0,0.0,0.0,153.0,158.0,1.0,1.0
1.0,0.0,1.0,156.0,158.0,0.0,0.0
0.0,0.0,0.0,151.0,158.0,0.0,0.0
0.0,8.0,1.0,167.0,156.0,1.0,0.0
0.0,0.0,0.0,155.0,158.0,0.0,13.0
2.0,0.0,0.0,153.0,158.0,2.0,0.0
0.0,0.0,5.0,153.0,172.0,0.0,0.0
1.0,0.0,1.0,155.0,159.0,0.0,0.0
0.0,7.0,0.0,153.0,159.0,0.0,25.0
0.0,1.0,0.0,153.0,159.0,0.0,0.0
0.0,2.0,1.0,153.0,161.0,0.0,0.0
0.0,0.0,0.0,156.0,158.0,2.0,16.0
1.0,0.0,0.0,153.0,159.0,0.0,0.0
0.0,2.0,0.0,153.0,162.0,0.0,0.0
2.0,0.0,0.0,153.0,157.0,0.0,0.0
0.0,2.0,0.0,156.0,159.0,0.0,0.0
2.0,0.0,0.0,152.0,157.0,2.0,1.0
1.0,1.0,0.0,154.0,158.0,0.0,1.0
2.0,1.0,0.0,177.0,160.0,0.0,0.0
2.0,0.0,0.0,154.0,160.0,7.0,1.0
0.0,0.0,0.0,154.0,158.0,0.0,1.0
0.0,7.0,0.0,153.0,158.0,0.0,0.0
0.0,0.0,0.0,154.0,158.0,0.0,0.0
5.0,1.0,0.0,152.0,160.0,0.0,0.0
3.0,2.0,0.0,154.0,159.0,0.0,1.0
0.0,5.0,0.0,153.0,159.0,0.0,0.0
0.0,0.0,0.0,153.0,161.0,0.0,0.0
0.0,0.0,0.0,156.0,159.0,2.0,0.0
1.0,0.0,4.0,156.0,158.0,0.0,0.0
0.0,0.0,1.0,153.0,158.0,0.0,0.0
0.0,1.0,0.0,157.0,157.0,11.0,0.0
1.0,0.0,0.0,157.0,162.0,0.0,0.0
0.0,1.0,0.0,155.0,158.0,0.0,0.0
0.0,1.0,0.0,154.0,158.0,1.0,0.0
0.0,2.0,0.0,153.0,166.0,1.0,0.0
0.0,0.0,0.0,155.0,159.0,0.0,0.0
1.0,19.0,0.0,152.0,158.0,0.0,0.0
0.0,0.0,0.0,153.0,156.0,1.0,2.0
1.0,0.0,0.0,154.0,157.0,0.0,0.0
0.0,1.0,0.0,156.0,158.0,0.0,1.0
0.0,6.0,0.0,152.0,159.0,0.0,5.0
1.0,4.0,0.0,153.0,158.0,0.0,0.0
1.0,5.0,0.0,152.0,158.0,0.0,0.0
1.0,0.0,0.0,155.0,158.0,1.0,0.0
0.0,1.0,0.0,153.0,156.0,0.0,0.0
2.0,30.0,1.0,153.0,158.0,18.0,1.0
0.0,0.0,0.0,153.0,159.0,0.0,0.0
0.0,0.0,0.0,153.0,156.0,0.0,0.0
1.0,8.0,0.0,154.0,157.0,0.0,0.0
0.0,2.0,0.0,153.0,158.0,0.0,4.0
0.0,2.0,0.0,155.0,157.0,0.0,0.0
1.0,2.0,1.0,154.0,158.0,26.0,0.0
2.0,0.0,10.0,153.0,161.0,0.0,0.0
1.0,1.0,2.0,154.0,157.0,0.0,0.0
0.0,10.0,0.0,151.0,158.0,0.0,0.0
0.0,1.0,0.0,153.0,183.0,6.0,0.0
9.0,3.0,0.0,155.0,158.0,0.0,0.0
1.0,1.0,0.0,157.0,158.0,0.0,0.0
0.0,0.0,1.0,153.0,155.0,0.0,0.0
2.0,1.0,0.0,154.0,158.0,0.0,2.0
0.0,1.0,7.0,155.0,157.0,0.0,0.0
0.0,0.0,0.0,154.0,157.0,0.0,1.0
0.0,0.0,0.0,153.0,156.0,0.0,0.0
1.0,0.0,26.0,141.0,163.0,0.0,0.0
0.0,0.0,0.0,163.0,157.0,0.0,0.0
1.0,1.0,0.0,152.0,158.0,0.0,1.0
1.0,0.0,0.0,153.0,156.0,0.0,0.0
1.0,0.0,10.0,153.0,155.0,0.0,0.0
1.0,0.0,0.0,156.0,156.0,9.0,0.0
1.0,0.0,3.0,153.0,157.0,0.0,0.0
0.0,0.0,9.0,154.0,157.0,0.0,0.0
1.0,0.0,0.0,150.0,173.0,0.0,3.0
1.0,0.0,0.0,152.0,158.0,1.0,0.0
0.0,0.0,1.0,153.0,158.0,0.0,0.0
2.0,0.0,0.0,152.0,158.0,0.0,1.0
