MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4,Stage
4.0,22.0,1.0,153.0,158.0,0.0,0.0,Cleaning
4.0,0.0,0.0,155.0,157.0,16.0,5.0,Cleaning
9.0,0.0,2.0,153.0,164.0,7.0,0.0,Exposure
3.0,0.0,0.0,154.0,158.0,1.0,0.0,Exposure
2.0,1.0,4.0,152.0,158.0,0.0,5.0,Exposure
2.0,0.0,0.0,154.0,157.0,1.0,0.0,Exposure
3.0,0.0,0.0,156.0,159.0,1.0,0.0,Exposure
3.0,0.0,1.0,154.0,158.0,9.0,0.0,Exposure
3.0,1.0,0.0,154.0,157.0,0.0,0.0,Exposure
2.0,6.0,0.0,154.0,161.0,0.0,0.0,Exposure
2.0,1.0,0.0,153.0,159.0,0.0,1.0,Cleaning
7.0,0.0,1.0,154.0,161.0,0.0,10.0,Exposure
2.0,0.0,0.0,154.0,157.0,0.0,1.0,Exposure
9.0,2.0,0.0,178.0,157.0,0.0,0.0,Exposure
4.0,0.0,0.0,153.0,170.0,0.0,0.0,Exposure
3.0,0.0,3.0,154.0,163.0,0.0,0.0,Cleaning
2.0,5.0,0.0,161.0,160.0,0.0,2.0,Exposure
5.0,1.0,0.0,154.0,157.0,0.0,1.0,Cleaning
2.0,0.0,0.0,153.0,163.0,0.0,0.0,Cleaning
2.0,1.0,1.0,156.0,157.0,0.0,0.0,Cleaning
7.0,3.0,0.0,155.0,157.0,0.0,3.0,Exposure
2.0,0.0,1.0,154.0,157.0,0.0,12.0,Exposure
2.0,0.0,0.0,154.0,159.0,0.0,0.0,Exposure
2.0,0.0,0.0,153.0,157.0,0.0,3.0,Exposure
7.0,0.0,0.0,153.0,158.0,1.0,0.0,Exposure
3.0,0.0,0.0,153.0,159.0,0.0,0.0,Exposure
2.0,0.0,0.0,153.0,157.0,0.0,2.0,Exposure
2.0,0.0,4.0,155.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,153.0,159.0,0.0,1.0,Exposure
3.0,10.0,2.0,153.0,158.0,19.0,0.0,Exposure
17.0,0.0,0.0,155.0,159.0,0.0,0.0,Exposure
8.0,0.0,0.0,152.0,157.0,0.0,2.0,Exposure
2.0,1.0,0.0,153.0,184.0,1.0,0.0,Exposure
2.0,0.0,1.0,153.0,157.0,0.0,0.0,Cleaning
2.0,0.0,2.0,153.0,158.0,3.0,0.0,Exposure
10.0,0.0,0.0,154.0,159.0,0.0,0.0,Exposure
