MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
0.0,0.0,0.0,155.0,159.0,0.0,0.0
2.0,6.0,0.0,155.0,157.0,0.0,0.0
0.0,0.0,1.0,157.0,157.0,0.0,1.0
1.0,2.0,4.0,155.0,160.0,0.0,0.0
0.0,1.0,0.0,155.0,158.0,0.0,0.0
0.0,0.0,0.0,155.0,154.0,0.0,13.0
1.0,0.0,0.0,154.0,158.0,0.0,0.0
0.0,0.0,0.0,156.0,162.0,0.0,0.0
2.0,0.0,1.0,144.0,157.0,1.0,1.0
0.0,0.0,1.0,156.0,158.0,0.0,0.0
0.0,2.0,3.0,157.0,160.0,0.0,0.0
1.0,2.0,0.0,155.0,160.0,0.0,17.0
0.0,0.0,2.0,152.0,158.0,12.0,0.0
0.0,15.0,0.0,156.0,154.0,0.0,1.0
1.0,0.0,0.0,155.0,157.0,0.0,0.0
0.0,1.0,0.0,163.0,160.0,0.0,0.0
1.0,0.0,0.0,155.0,156.0,0.0,0.0
0.0,1.0,6.0,149.0,157.0,0.0,0.0
0.0,0.0,1.0,151.0,157.0,0.0,0.0
3.0,6.0,10.0,154.0,157.0,0.0,0.0
0.0,0.0,5.0,155.0,157.0,0.0,0.0
5.0,0.0,0.0,148.0,157.0,0.0,7.0
7.0,0.0,1.0,155.0,157.0,0.0,0.0
0.0,1.0,0.0,155.0,159.0,7.0,0.0
2.0,0.0,0.0,154.0,157.0,0.0,0.0
1.0,3.0,0.0,154.0,157.0,0.0,0.0
1.0,2.0,0.0,156.0,159.0,0.0,4.0
1.0,1.0,0.0,154.0,157.0,2.0,0.0
3.0,7.0,0.0,155.0,157.0,1.0,3.0
0.0,0.0,0.0,156.0,158.0,0.0,1.0
7.0,0.0,0.0,156.0,157.0,0.0,0.0
0.0,0.0,0.0,155.0,156.0,0.0,0.0
1.0,1.0,0.0,150.0,161.0,0.0,1.0
0.0,9.0,0.0,153.0,156.0,0.0,4.0
1.0,0.0,1.0,154.0,165.0,0.0,0.0
1.0,1.0,0.0,155.0,157.0,0.0,0.0
0.0,0.0,1.0,154.0,157.0,0.0,6.0
0.0,0.0,1.0,156.0,157.0,0.0,0.0
3.0,0.0,0.0,155.0,159.0,0.0,1.0
1.0,0.0,0.0,151.0,157.0,0.0,0.0
0.0,0.0,0.0,152.0,161.0,0.0,0.0
1.0,0.0,2.0,154.0,163.0,0.0,1.0
0.0,0.0,1.0,155.0,159.0,0.0,0.0
2.0,0.0,0.0,154.0,161.0,0.0,0.0
0.0,0.0,2.0,154.0,158.0,0.0,0.0
0.0,0.0,1.0,154.0,157.0,3.0,18.0
3.0,0.0,0.0,155.0,157.0,0.0,3.0
0.0,0.0,0.0,156.0,161.0,0.0,0.0
0.0,0.0,0.0,155.0,160.0,0.0,0.0
2.0,2.0,0.0,152.0,158.0,0.0,0.0
9.0,0.0,0.0,155.0,157.0,0.0,0.0
3.0,1.0,0.0,155.0,157.0,0.0,0.0
0.0,0.0,0.0,154.0,158.0,1.0,3.0
3.0,0.0,0.0,155.0,159.0,0.0,9.0
0.0,0.0,0.0,157.0,160.0,0.0,0.0
1.0,0.0,2.0,157.0,185.0,9.0,0.0
1.0,0.0,0.0,153.0,176.0,0.0,0.0
0.0,0.0,0.0,165.0,158.0,0.0,2.0
14.0,0.0,0.0,154.0,158.0,0.0,0.0
3.0,0.0,4.0,154.0,157.0,2.0,1.0
1.0,3.0,0.0,155.0,157.0,0.0,3.0
0.0,1.0,0.0,155.0,157.0,0.0,0.0
0.0,1.0,1.0,159.0,157.0,1.0,4.0
4.0,0.0,0.0,157.0,157.0,0.0,0.0
0.0,0.0,0.0,166.0,157.0,21.0,0.0
2.0,0.0,0.0,154.0,157.0,0.0,0.0
0.0,0.0,0.0,155.0,157.0,26.0,6.0
2.0,18.0,0.0,154.0,157.0,1.0,1.0
0.0,0.0,0.0,155.0,156.0,3.0,6.0
3.0,0.0,0.0,154.0,156.0,2.0,3.0
0.0,0.0,0.0,155.0,157.0,2.0,0.0
5.0,0.0,0.0,158.0,157.0,2.0,0.0
0.0,0.0,0.0,156.0,157.0,0.0,2.0
0.0,0.0,1.0,156.0,157.0,0.0,0.0
1.0,7.0,0.0,151.0,157.0,0.0,8.0
0.0,1.0,0.0,155.0,157.0,0.0,0.0
0.0,2.0,0.0,154.0,160.0,0.0,3.0
1.0,14.0,1.0,165.0,158.0,0.0,0.0
0.0,1.0,0.0,156.0,155.0,0.0,0.0
0.0,0.0,0.0,166.0,158.0,0.0,9.0
0.0,0.0,3.0,155.0,159.0,0.0,0.0
6.0,0.0,1.0,155.0,157.0,0.0,0.0
0.0,1.0,0.0,157.0,157.0,0.0,0.0
1.0,0.0,5.0,155.0,158.0,0.0,0.0
0.0,0.0,5.0,157.0,157.0,0.0,0.0
0.0,1.0,5.0,155.0,158.0,2.0,2.0
0.0,1.0,0.0,157.0,163.0,0.0,16.0
0.0,1.0,0.0,155.0,157.0,1.0,0.0
1.0,0.0,5.0,171.0,156.0,12.0,0.0
0.0,0.0,0.0,155.0,159.0,0.0,0.0
9.0,0.0,0.0,156.0,146.0,1.0,0.0
0.0,0.0,0.0,163.0,156.0,0.0,1.0
2.0,0.0,0.0,156.0,158.0,1.0,0.0
1.0,0.0,0.0,155.0,149.0,1.0,0.0
8.0,0.0,0.0,167.0,158.0,0.0,4.0
1.0,0.0,1.0,164.0,159.0,1.0,0.0
0.0,7.0,0.0,155.0,158.0,0.0,0.0
0.0,2.0,0.0,154.0,160.0,13.0,2.0
0.0,2.0,0.0,143.0,157.0,0.0,0.0
0.0,0.0,0.0,155.0,157.0,3.0,0.0
0.0,5.0,0.0,155.0,157.0,0.0,8.0
0.0,1.0,1.0,155.0,159.0,0.0,0.0
0.0,0.0,3.0,155.0,157.0,0.0,1.0
