MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
409.0,538.0,422.0,487.0,316.0,195.0,415.0
340.0,459.0,358.0,429.0,292.0,167.0,354.0
341.0,460.0,358.0,426.0,293.0,189.0,356.0
341.0,457.0,356.0,426.0,291.0,163.0,351.0
337.0,455.0,350.0,424.0,292.0,162.0,346.0
333.0,451.0,348.0,419.0,289.0,157.0,331.0
339.0,448.0,345.0,416.0,289.0,158.0,343.0
331.0,444.0,341.0,416.0,289.0,139.0,339.0
324.0,443.0,337.0,411.0,286.0,153.0,336.0
326.0,436.0,336.0,411.0,288.0,150.0,332.0
328.0,441.0,333.0,409.0,287.0,149.0,329.0
321.0,435.0,333.0,407.0,282.0,146.0,328.0
322.0,433.0,327.0,404.0,289.0,140.0,324.0
316.0,434.0,327.0,402.0,287.0,142.0,324.0
316.0,431.0,326.0,400.0,283.0,141.0,322.0
316.0,434.0,323.0,393.0,283.0,132.0,330.0
314.0,425.0,321.0,398.0,281.0,137.0,311.0
310.0,426.0,321.0,397.0,283.0,138.0,319.0
310.0,426.0,319.0,395.0,283.0,136.0,314.0
311.0,419.0,318.0,394.0,281.0,154.0,313.0
311.0,420.0,317.0,392.0,281.0,132.0,312.0
306.0,425.0,315.0,393.0,281.0,132.0,309.0
308.0,420.0,318.0,392.0,278.0,131.0,311.0
307.0,422.0,315.0,391.0,285.0,130.0,311.0
306.0,420.0,312.0,382.0,283.0,130.0,308.0
304.0,420.0,309.0,388.0,280.0,125.0,308.0
305.0,434.0,314.0,386.0,281.0,126.0,307.0
306.0,425.0,313.0,390.0,283.0,129.0,309.0
306.0,425.0,317.0,391.0,288.0,130.0,321.0
317.0,437.0,327.0,400.0,286.0,132.0,313.0
315.0,439.0,326.0,399.0,307.0,133.0,319.0
329.0,441.0,330.0,398.0,286.0,132.0,341.0
319.0,439.0,330.0,396.0,285.0,132.0,321.0
320.0,441.0,332.0,402.0,288.0,149.0,323.0
312.0,442.0,329.0,399.0,287.0,136.0,323.0
316.0,444.0,332.0,400.0,287.0,132.0,321.0
319.0,444.0,328.0,398.0,289.0,132.0,324.0
318.0,441.0,340.0,390.0,288.0,135.0,324.0
318.0,442.0,331.0,397.0,291.0,130.0,322.0
321.0,443.0,331.0,398.0,287.0,134.0,322.0
317.0,442.0,331.0,389.0,289.0,143.0,323.0
320.0,441.0,337.0,398.0,288.0,132.0,322.0
322.0,438.0,329.0,396.0,288.0,156.0,323.0
318.0,441.0,330.0,397.0,287.0,130.0,324.0
314.0,461.0,331.0,400.0,288.0,134.0,321.0
320.0,443.0,331.0,389.0,284.0,131.0,328.0
318.0,442.0,330.0,395.0,288.0,125.0,327.0
318.0,435.0,329.0,396.0,287.0,130.0,322.0
314.0,446.0,329.0,396.0,287.0,130.0,323.0
317.0,436.0,328.0,395.0,288.0,129.0,322.0
317.0,438.0,322.0,395.0,291.0,130.0,321.0
317.0,437.0,329.0,393.0,284.0,128.0,320.0
316.0,441.0,328.0,391.0,287.0,130.0,322.0
313.0,436.0,329.0,395.0,287.0,129.0,319.0
316.0,434.0,330.0,394.0,286.0,130.0,321.0
313.0,435.0,326.0,393.0,287.0,128.0,321.0
315.0,436.0,329.0,392.0,287.0,129.0,320.0
311.0,437.0,327.0,393.0,286.0,129.0,320.0
310.0,433.0,325.0,394.0,287.0,126.0,322.0
312.0,431.0,326.0,393.0,285.0,129.0,319.0
315.0,434.0,326.0,392.0,286.0,123.0,317.0
311.0,437.0,324.0,390.0,288.0,126.0,319.0
313.0,433.0,324.0,391.0,286.0,129.0,319.0
317.0,431.0,328.0,391.0,288.0,125.0,319.0
314.0,434.0,326.0,390.0,290.0,126.0,321.0
313.0,433.0,336.0,394.0,286.0,125.0,317.0
312.0,431.0,324.0,390.0,286.0,110.0,317.0
314.0,431.0,324.0,390.0,285.0,126.0,317.0
310.0,437.0,324.0,403.0,296.0,126.0,322.0
311.0,427.0,325.0,386.0,285.0,126.0,315.0
311.0,428.0,335.0,402.0,284.0,126.0,316.0
312.0,431.0,332.0,389.0,287.0,126.0,312.0
315.0,434.0,323.0,388.0,287.0,125.0,316.0
309.0,431.0,327.0,389.0,283.0,124.0,317.0
307.0,429.0,324.0,383.0,285.0,127.0,315.0
309.0,431.0,322.0,403.0,285.0,126.0,314.0
310.0,425.0,320.0,388.0,283.0,128.0,315.0
310.0,430.0,322.0,387.0,285.0,124.0,314.0
310.0,427.0,322.0,388.0,287.0,126.0,312.0
317.0,428.0,320.0,386.0,284.0,123.0,313.0
316.0,415.0,320.0,388.0,285.0,124.0,314.0
308.0,429.0,317.0,388.0,283.0,124.0,314.0
308.0,426.0,319.0,387.0,284.0,123.0,346.0
309.0,424.0,321.0,379.0,285.0,123.0,313.0
305.0,428.0,321.0,385.0,288.0,124.0,313.0
308.0,427.0,320.0,386.0,285.0,124.0,314.0
309.0,427.0,327.0,386.0,285.0,125.0,313.0
309.0,423.0,319.0,384.0,284.0,122.0,313.0
308.0,425.0,322.0,388.0,285.0,123.0,312.0
306.0,427.0,320.0,386.0,284.0,123.0,334.0
305.0,435.0,319.0,388.0,306.0,122.0,313.0
310.0,427.0,317.0,385.0,284.0,124.0,316.0
309.0,426.0,319.0,384.0,284.0,122.0,316.0
302.0,432.0,319.0,385.0,284.0,120.0,311.0
308.0,429.0,319.0,385.0,284.0,145.0,313.0
308.0,426.0,327.0,386.0,281.0,127.0,309.0
307.0,450.0,318.0,385.0,284.0,122.0,312.0
307.0,425.0,317.0,384.0,284.0,121.0,312.0
307.0,423.0,319.0,380.0,282.0,122.0,312.0
308.0,425.0,319.0,383.0,284.0,123.0,299.0
309.0,424.0,321.0,383.0,282.0,123.0,312.0
313.0,432.0,324.0,389.0,286.0,124.0,319.0
313.0,432.0,322.0,388.0,286.0,124.0,318.0
311.0,433.0,325.0,388.0,285.0,123.0,315.0
311.0,425.0,320.0,396.0,285.0,123.0,317.0
313.0,428.0,326.0,389.0,283.0,127.0,317.0
311.0,430.0,325.0,387.0,289.0,124.0,319.0
