"116,550,27,250,245,262,66,132"
"107,502,26,229,239,257,58,121"
"107,504,30,227,238,254,58,122"
"105,500,32,225,259,254,60,118"
"106,520,22,223,236,253,61,146"
"103,497,29,224,233,261,57,120"
"101,497,30,221,236,253,57,115"
"102,494,31,221,236,253,58,115"
"103,498,29,218,236,254,55,114"
"103,495,31,220,236,253,68,115"
"101,496,32,219,249,251,56,113"
"100,492,32,219,235,252,40,112"
"97,496,29,217,235,251,56,112"
"93,493,29,216,234,251,69,113"
"98,491,30,218,234,252,59,112"
"94,490,31,220,236,250,58,112"
"93,492,35,219,236,250,56,112"
"97,491,28,217,235,250,55,112"
"99,486,29,216,233,247,59,112"
"95,488,31,217,234,250,81,111"
"96,487,29,212,233,253,58,112"
"96,484,29,215,231,252,54,110"
"97,487,35,216,230,250,54,112"
"96,488,29,216,233,249,54,111"
"93,493,29,219,234,252,58,113"
"97,494,60,218,236,253,56,112"
"105,498,31,227,234,252,55,112"
"98,498,30,221,232,251,71,114"
"102,498,31,219,236,253,54,120"
"98,516,29,222,234,252,54,115"
"95,493,31,221,236,252,54,113"
"97,497,30,219,234,252,54,116"
"97,497,45,219,236,253,61,114"
"98,500,27,222,235,252,55,114"
"94,497,47,226,234,251,80,115"
"93,494,31,220,234,252,55,113"
"97,492,32,221,237,256,51,120"
"97,495,33,220,234,252,55,117"
"98,493,35,220,254,252,54,114"
"101,497,31,221,231,249,55,114"
"98,495,50,221,227,253,55,115"
"111,498,31,221,233,252,55,112"
"95,496,34,221,233,269,54,118"
"99,496,34,220,235,251,62,126"
"99,492,33,221,235,252,56,109"
"95,490,33,220,233,251,56,114"
"98,501,27,220,237,252,48,112"
"98,496,31,220,234,253,55,112"
"99,494,34,217,232,253,54,114"
"97,496,32,218,235,251,61,113"
"97,494,35,218,237,252,58,113"
"100,491,36,218,235,251,53,114"
"95,492,37,217,234,251,54,108"
"96,493,36,217,244,251,66,116"
"96,489,38,220,234,251,54,113"
"93,493,30,218,234,251,54,113"
"95,493,36,218,231,250,55,112"
