MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
372.0,419.0,456.0,433.0,285.0,202.0,254.0
318.0,367.0,396.0,395.0,269.0,172.0,218.0
315.0,358.0,395.0,392.0,269.0,169.0,212.0
308.0,361.0,407.0,390.0,267.0,188.0,210.0
306.0,356.0,435.0,399.0,269.0,169.0,217.0
307.0,381.0,449.0,412.0,267.0,169.0,239.0
306.0,405.0,476.0,419.0,268.0,178.0,257.0
308.0,440.0,506.0,427.0,277.0,173.0,281.0
306.0,473.0,537.0,439.0,279.0,192.0,307.0
307.0,500.0,563.0,448.0,286.0,176.0,329.0
308.0,529.0,585.0,455.0,293.0,177.0,353.0
301.0,548.0,611.0,465.0,297.0,179.0,385.0
308.0,576.0,630.0,473.0,295.0,175.0,390.0
309.0,592.0,651.0,482.0,314.0,184.0,397.0
314.0,610.0,663.0,489.0,313.0,185.0,422.0
315.0,620.0,680.0,498.0,313.0,190.0,440.0
316.0,638.0,686.0,504.0,316.0,197.0,450.0
321.0,647.0,700.0,506.0,323.0,189.0,471.0
320.0,654.0,708.0,518.0,322.0,191.0,480.0
329.0,661.0,716.0,525.0,327.0,208.0,491.0
326.0,673.0,724.0,529.0,328.0,194.0,501.0
328.0,679.0,726.0,537.0,331.0,197.0,515.0
331.0,683.0,732.0,542.0,352.0,195.0,521.0
333.0,688.0,737.0,548.0,336.0,198.0,528.0
334.0,693.0,743.0,555.0,339.0,199.0,536.0
338.0,698.0,745.0,556.0,341.0,201.0,541.0
340.0,702.0,746.0,559.0,346.0,201.0,550.0
341.0,706.0,753.0,566.0,345.0,203.0,557.0
344.0,709.0,750.0,581.0,348.0,207.0,563.0
348.0,709.0,752.0,591.0,348.0,208.0,567.0
352.0,710.0,755.0,572.0,355.0,208.0,566.0
353.0,715.0,758.0,578.0,354.0,208.0,569.0
355.0,716.0,759.0,578.0,360.0,212.0,581.0
355.0,721.0,759.0,583.0,356.0,211.0,591.0
361.0,724.0,760.0,585.0,379.0,211.0,586.0
361.0,723.0,766.0,591.0,359.0,217.0,601.0
359.0,720.0,759.0,600.0,359.0,214.0,597.0
367.0,725.0,762.0,592.0,365.0,217.0,599.0
367.0,727.0,762.0,595.0,367.0,216.0,601.0
371.0,726.0,763.0,598.0,367.0,219.0,602.0
373.0,728.0,766.0,598.0,368.0,220.0,608.0
374.0,727.0,789.0,601.0,370.0,219.0,607.0
376.0,731.0,765.0,605.0,373.0,222.0,616.0
379.0,736.0,767.0,604.0,371.0,221.0,611.0
381.0,731.0,766.0,604.0,372.0,223.0,614.0
385.0,732.0,766.0,607.0,371.0,222.0,615.0
377.0,734.0,769.0,622.0,373.0,223.0,616.0
377.0,735.0,764.0,608.0,383.0,222.0,628.0
387.0,735.0,765.0,610.0,373.0,225.0,619.0
388.0,733.0,766.0,612.0,377.0,226.0,622.0
395.0,735.0,766.0,612.0,379.0,228.0,623.0
392.0,734.0,759.0,615.0,377.0,227.0,622.0
392.0,762.0,767.0,616.0,386.0,228.0,627.0
393.0,733.0,791.0,615.0,380.0,228.0,622.0
394.0,736.0,765.0,616.0,378.0,229.0,657.0
396.0,738.0,768.0,616.0,382.0,230.0,628.0
400.0,736.0,764.0,620.0,382.0,230.0,629.0
402.0,740.0,768.0,620.0,383.0,228.0,627.0
401.0,764.0,767.0,628.0,383.0,232.0,630.0
403.0,745.0,767.0,627.0,384.0,233.0,632.0
403.0,735.0,766.0,623.0,410.0,233.0,639.0
399.0,741.0,767.0,622.0,385.0,235.0,629.0
412.0,742.0,767.0,620.0,387.0,233.0,629.0
406.0,740.0,767.0,624.0,385.0,237.0,630.0
411.0,738.0,764.0,624.0,385.0,234.0,630.0
411.0,738.0,764.0,626.0,384.0,237.0,630.0
411.0,739.0,763.0,617.0,383.0,234.0,635.0
412.0,738.0,764.0,624.0,388.0,236.0,632.0
411.0,739.0,762.0,624.0,387.0,236.0,631.0
415.0,739.0,765.0,627.0,388.0,236.0,633.0
415.0,738.0,762.0,622.0,387.0,236.0,631.0
415.0,739.0,764.0,626.0,381.0,252.0,634.0
416.0,739.0,761.0,624.0,388.0,237.0,637.0
419.0,742.0,761.0,626.0,388.0,238.0,633.0
417.0,737.0,760.0,626.0,389.0,238.0,634.0
420.0,739.0,762.0,627.0,385.0,235.0,635.0
421.0,738.0,761.0,626.0,386.0,239.0,641.0
422.0,735.0,759.0,625.0,391.0,238.0,663.0
421.0,735.0,760.0,626.0,391.0,239.0,631.0
419.0,735.0,759.0,624.0,396.0,241.0,631.0
419.0,735.0,772.0,626.0,387.0,265.0,633.0
423.0,737.0,761.0,625.0,391.0,243.0,633.0
423.0,736.0,760.0,627.0,392.0,240.0,633.0
423.0,736.0,760.0,628.0,397.0,248.0,626.0
423.0,740.0,757.0,626.0,389.0,241.0,634.0
421.0,732.0,762.0,625.0,392.0,241.0,632.0
424.0,737.0,760.0,627.0,389.0,240.0,664.0
426.0,735.0,757.0,627.0,393.0,241.0,635.0
446.0,730.0,757.0,626.0,393.0,242.0,635.0
425.0,733.0,754.0,630.0,394.0,240.0,632.0
427.0,735.0,754.0,624.0,391.0,243.0,632.0
427.0,734.0,755.0,626.0,393.0,242.0,636.0
430.0,736.0,755.0,625.0,392.0,242.0,634.0
427.0,730.0,754.0,623.0,392.0,241.0,632.0
428.0,741.0,752.0,628.0,393.0,242.0,632.0
431.0,738.0,756.0,627.0,390.0,244.0,632.0
430.0,732.0,756.0,625.0,395.0,244.0,632.0
431.0,734.0,757.0,627.0,393.0,241.0,631.0
430.0,736.0,752.0,627.0,394.0,243.0,632.0
429.0,730.0,755.0,628.0,393.0,243.0,632.0
431.0,732.0,757.0,629.0,394.0,245.0,632.0
432.0,730.0,752.0,628.0,393.0,246.0,635.0
437.0,731.0,749.0,628.0,394.0,259.0,633.0
432.0,730.0,753.0,626.0,391.0,244.0,633.0
431.0,730.0,754.0,626.0,394.0,245.0,633.0
439.0,730.0,752.0,628.0,394.0,245.0,633.0
433.0,756.0,752.0,630.0,391.0,247.0,633.0
436.0,732.0,753.0,627.0,393.0,247.0,631.0
439.0,735.0,753.0,622.0,394.0,246.0,638.0
434.0,731.0,753.0,626.0,395.0,245.0,632.0
434.0,727.0,752.0,625.0,393.0,248.0,633.0
435.0,733.0,753.0,627.0,391.0,246.0,632.0
437.0,733.0,753.0,626.0,396.0,245.0,635.0
437.0,729.0,752.0,626.0,397.0,245.0,633.0
435.0,732.0,751.0,626.0,393.0,248.0,632.0
436.0,737.0,751.0,618.0,395.0,247.0,632.0
435.0,732.0,751.0,626.0,393.0,246.0,632.0
436.0,730.0,750.0,627.0,389.0,247.0,631.0
435.0,734.0,752.0,619.0,397.0,247.0,632.0
438.0,733.0,752.0,627.0,395.0,246.0,632.0
436.0,729.0,749.0,625.0,393.0,248.0,630.0
436.0,736.0,751.0,628.0,418.0,247.0,632.0
432.0,735.0,752.0,624.0,396.0,248.0,634.0
436.0,731.0,749.0,624.0,392.0,248.0,630.0
433.0,731.0,748.0,621.0,395.0,248.0,631.0
435.0,732.0,743.0,624.0,394.0,245.0,633.0
446.0,731.0,746.0,624.0,394.0,257.0,629.0
436.0,728.0,754.0,623.0,394.0,247.0,631.0
434.0,731.0,747.0,622.0,393.0,246.0,626.0
428.0,728.0,747.0,623.0,396.0,250.0,629.0
436.0,731.0,747.0,624.0,394.0,247.0,662.0
428.0,730.0,748.0,624.0,393.0,247.0,629.0
435.0,728.0,748.0,624.0,391.0,247.0,629.0
440.0,732.0,746.0,623.0,393.0,247.0,628.0
436.0,729.0,746.0,624.0,393.0,248.0,628.0
441.0,720.0,745.0,622.0,387.0,247.0,626.0
437.0,728.0,746.0,619.0,393.0,246.0,631.0
436.0,729.0,746.0,623.0,392.0,248.0,629.0
437.0,730.0,745.0,625.0,392.0,247.0,630.0
435.0,729.0,747.0,643.0,393.0,249.0,630.0
436.0,727.0,744.0,619.0,392.0,248.0,627.0
439.0,725.0,744.0,615.0,392.0,249.0,628.0
436.0,726.0,744.0,618.0,392.0,251.0,627.0
438.0,725.0,744.0,623.0,392.0,246.0,629.0
440.0,724.0,742.0,620.0,393.0,249.0,627.0
439.0,725.0,745.0,620.0,391.0,248.0,639.0
438.0,724.0,743.0,622.0,391.0,249.0,626.0
435.0,718.0,745.0,619.0,391.0,249.0,633.0
438.0,721.0,742.0,620.0,390.0,248.0,629.0
444.0,723.0,753.0,618.0,390.0,255.0,629.0
437.0,725.0,742.0,619.0,413.0,248.0,624.0
437.0,727.0,742.0,620.0,387.0,250.0,625.0
439.0,722.0,742.0,612.0,391.0,248.0,623.0
441.0,723.0,743.0,620.0,392.0,250.0,624.0
440.0,721.0,743.0,618.0,392.0,251.0,622.0
