MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
247.0,673.0,426.0,299.0,282.0,41.0,234.0
220.0,609.0,387.0,287.0,273.0,38.0,213.0
221.0,606.0,385.0,285.0,268.0,35.0,210.0
217.0,600.0,380.0,284.0,270.0,37.0,216.0
217.0,596.0,379.0,284.0,272.0,36.0,209.0
214.0,594.0,377.0,283.0,269.0,37.0,208.0
211.0,591.0,374.0,289.0,269.0,37.0,205.0
230.0,591.0,376.0,280.0,266.0,32.0,205.0
211.0,586.0,372.0,276.0,273.0,34.0,205.0
208.0,585.0,376.0,280.0,269.0,34.0,201.0
210.0,582.0,374.0,280.0,271.0,35.0,203.0
208.0,577.0,373.0,290.0,266.0,30.0,203.0
206.0,576.0,375.0,284.0,269.0,34.0,203.0
206.0,571.0,370.0,279.0,273.0,33.0,204.0
204.0,578.0,367.0,278.0,267.0,32.0,204.0
204.0,574.0,372.0,277.0,268.0,34.0,208.0
204.0,569.0,373.0,278.0,268.0,38.0,202.0
200.0,568.0,367.0,277.0,267.0,31.0,203.0
201.0,569.0,372.0,275.0,269.0,32.0,201.0
201.0,564.0,373.0,280.0,261.0,34.0,204.0
199.0,563.0,373.0,276.0,268.0,33.0,202.0
201.0,559.0,373.0,278.0,268.0,35.0,201.0
202.0,565.0,368.0,278.0,268.0,58.0,201.0
200.0,560.0,371.0,278.0,266.0,32.0,201.0
195.0,552.0,374.0,277.0,265.0,31.0,204.0
197.0,551.0,373.0,276.0,285.0,31.0,202.0
198.0,550.0,362.0,280.0,265.0,37.0,202.0
197.0,549.0,370.0,298.0,267.0,33.0,203.0
197.0,548.0,370.0,278.0,266.0,30.0,201.0
192.0,536.0,372.0,273.0,266.0,29.0,197.0
190.0,538.0,366.0,274.0,264.0,31.0,199.0
189.0,538.0,366.0,275.0,264.0,31.0,204.0
193.0,538.0,367.0,275.0,265.0,33.0,200.0
194.0,536.0,367.0,272.0,265.0,31.0,200.0
192.0,535.0,369.0,274.0,273.0,30.0,199.0
190.0,536.0,373.0,274.0,259.0,30.0,201.0
190.0,532.0,370.0,275.0,265.0,32.0,200.0
196.0,546.0,381.0,278.0,266.0,29.0,223.0
194.0,541.0,381.0,277.0,264.0,26.0,206.0
194.0,543.0,382.0,274.0,270.0,31.0,208.0
193.0,542.0,383.0,277.0,270.0,30.0,208.0
197.0,540.0,380.0,277.0,264.0,30.0,210.0
191.0,543.0,383.0,278.0,269.0,30.0,209.0
192.0,540.0,380.0,278.0,268.0,31.0,207.0
192.0,541.0,382.0,280.0,266.0,25.0,208.0
192.0,537.0,383.0,279.0,267.0,30.0,211.0
192.0,539.0,382.0,278.0,267.0,29.0,212.0
192.0,537.0,383.0,278.0,268.0,32.0,207.0
193.0,535.0,385.0,278.0,268.0,25.0,208.0
200.0,534.0,383.0,271.0,266.0,28.0,204.0
192.0,536.0,385.0,283.0,267.0,39.0,211.0
191.0,533.0,373.0,276.0,267.0,29.0,209.0
189.0,533.0,384.0,277.0,268.0,30.0,224.0
191.0,538.0,385.0,280.0,266.0,29.0,210.0
190.0,532.0,382.0,278.0,266.0,29.0,209.0
190.0,528.0,381.0,278.0,263.0,55.0,207.0
190.0,531.0,382.0,278.0,267.0,29.0,209.0
189.0,525.0,381.0,278.0,266.0,29.0,204.0
190.0,519.0,392.0,278.0,266.0,29.0,206.0
184.0,511.0,371.0,275.0,263.0,31.0,202.0
184.0,511.0,376.0,275.0,267.0,36.0,204.0
185.0,513.0,369.0,273.0,285.0,30.0,212.0
186.0,514.0,375.0,276.0,265.0,27.0,206.0
184.0,505.0,376.0,275.0,263.0,27.0,202.0
182.0,507.0,373.0,275.0,265.0,52.0,203.0
189.0,500.0,374.0,283.0,264.0,31.0,203.0
179.0,505.0,373.0,276.0,264.0,32.0,193.0
180.0,505.0,374.0,272.0,264.0,27.0,206.0
183.0,507.0,382.0,278.0,265.0,28.0,206.0
190.0,513.0,382.0,276.0,267.0,30.0,212.0
187.0,515.0,383.0,275.0,268.0,28.0,211.0
187.0,511.0,389.0,279.0,266.0,28.0,210.0
190.0,515.0,385.0,278.0,272.0,29.0,210.0
187.0,533.0,387.0,280.0,263.0,28.0,209.0
187.0,520.0,387.0,278.0,267.0,28.0,211.0
185.0,513.0,388.0,279.0,271.0,27.0,211.0
179.0,523.0,387.0,278.0,267.0,29.0,213.0
188.0,515.0,389.0,277.0,267.0,30.0,213.0
188.0,513.0,406.0,280.0,264.0,29.0,213.0
186.0,513.0,390.0,281.0,271.0,27.0,214.0
188.0,509.0,390.0,279.0,262.0,31.0,214.0
186.0,511.0,390.0,275.0,267.0,27.0,218.0
187.0,510.0,389.0,280.0,267.0,27.0,213.0
183.0,510.0,406.0,280.0,264.0,27.0,213.0
188.0,535.0,390.0,278.0,268.0,32.0,214.0
186.0,509.0,389.0,281.0,267.0,31.0,213.0
187.0,509.0,389.0,279.0,267.0,27.0,213.0
185.0,508.0,391.0,287.0,267.0,28.0,210.0
186.0,505.0,389.0,281.0,267.0,27.0,214.0
184.0,506.0,389.0,280.0,270.0,25.0,213.0
189.0,504.0,390.0,280.0,264.0,28.0,223.0
185.0,506.0,391.0,280.0,268.0,27.0,213.0
187.0,509.0,390.0,283.0,268.0,29.0,216.0
184.0,505.0,388.0,284.0,266.0,26.0,214.0
189.0,507.0,396.0,281.0,267.0,28.0,223.0
187.0,501.0,389.0,281.0,267.0,29.0,215.0
188.0,519.0,396.0,280.0,267.0,28.0,213.0
186.0,504.0,390.0,281.0,268.0,28.0,215.0
188.0,505.0,403.0,280.0,268.0,25.0,214.0
188.0,503.0,391.0,280.0,268.0,27.0,214.0
187.0,504.0,389.0,279.0,291.0,28.0,214.0
189.0,502.0,389.0,282.0,268.0,27.0,214.0
0.0,0.0,0.0,165.0,161.0,0.0,0.0
0.0,1.0,1.0,181.0,160.0,0.0,0.0
0.0,27.0,0.0,160.0,163.0,0.0,0.0
0.0,1.0,6.0,160.0,164.0,0.0,0.0
0.0,0.0,0.0,162.0,161.0,2.0,1.0
0.0,1.0,0.0,163.0,164.0,0.0,0.0
4.0,0.0,0.0,162.0,165.0,3.0,1.0
2.0,0.0,0.0,162.0,164.0,0.0,2.0
2.0,2.0,0.0,164.0,173.0,0.0,0.0
1.0,0.0,0.0,162.0,164.0,0.0,0.0
1.0,1.0,0.0,165.0,167.0,0.0,0.0
15.0,1.0,0.0,164.0,165.0,0.0,0.0
0.0,0.0,0.0,175.0,164.0,0.0,0.0
0.0,0.0,0.0,164.0,166.0,0.0,0.0
5.0,0.0,19.0,165.0,165.0,1.0,0.0
1.0,0.0,0.0,165.0,154.0,0.0,0.0
0.0,1.0,0.0,159.0,166.0,0.0,0.0
0.0,0.0,4.0,165.0,170.0,0.0,0.0
0.0,1.0,0.0,165.0,166.0,0.0,0.0
4.0,0.0,0.0,165.0,168.0,0.0,0.0
0.0,0.0,0.0,168.0,166.0,0.0,0.0
0.0,2.0,1.0,165.0,166.0,1.0,0.0
0.0,0.0,0.0,168.0,156.0,0.0,0.0
1.0,0.0,1.0,163.0,167.0,1.0,6.0
0.0,0.0,1.0,167.0,168.0,0.0,0.0
0.0,2.0,0.0,174.0,168.0,0.0,0.0
2.0,0.0,0.0,167.0,176.0,0.0,1.0
0.0,2.0,0.0,167.0,167.0,0.0,0.0
1.0,0.0,0.0,168.0,168.0,0.0,0.0
1.0,0.0,0.0,166.0,166.0,0.0,1.0
1.0,1.0,0.0,166.0,167.0,0.0,5.0
0.0,0.0,0.0,167.0,168.0,1.0,0.0
0.0,26.0,0.0,170.0,167.0,0.0,1.0
0.0,0.0,0.0,161.0,167.0,2.0,6.0
1.0,0.0,0.0,168.0,167.0,0.0,0.0
0.0,0.0,0.0,167.0,164.0,0.0,0.0
2.0,23.0,0.0,167.0,170.0,1.0,0.0
0.0,1.0,30.0,167.0,167.0,1.0,0.0
1.0,0.0,0.0,168.0,167.0,0.0,0.0
1.0,0.0,0.0,169.0,176.0,0.0,0.0
0.0,4.0,1.0,162.0,167.0,2.0,1.0
0.0,1.0,0.0,167.0,177.0,0.0,4.0
1.0,0.0,0.0,174.0,169.0,1.0,0.0
0.0,0.0,1.0,168.0,169.0,0.0,1.0
6.0,1.0,0.0,180.0,171.0,24.0,0.0
1.0,3.0,1.0,168.0,168.0,1.0,0.0
1.0,0.0,4.0,168.0,171.0,0.0,8.0
2.0,0.0,0.0,169.0,171.0,3.0,0.0
0.0,0.0,0.0,168.0,167.0,0.0,0.0
0.0,0.0,0.0,169.0,171.0,0.0,1.0
0.0,2.0,0.0,168.0,168.0,0.0,0.0
0.0,0.0,3.0,169.0,168.0,0.0,31.0
1.0,0.0,0.0,169.0,169.0,0.0,9.0
1.0,1.0,0.0,167.0,169.0,0.0,0.0
0.0,1.0,0.0,168.0,166.0,1.0,0.0
1.0,4.0,2.0,169.0,159.0,1.0,1.0
0.0,0.0,3.0,170.0,170.0,1.0,3.0
1.0,0.0,2.0,171.0,169.0,0.0,2.0
0.0,0.0,0.0,169.0,169.0,0.0,3.0
2.0,0.0,0.0,167.0,169.0,0.0,0.0
0.0,0.0,1.0,168.0,170.0,0.0,0.0
12.0,0.0,1.0,169.0,172.0,0.0,0.0
0.0,0.0,0.0,170.0,171.0,0.0,2.0
0.0,0.0,0.0,168.0,169.0,0.0,0.0
1.0,6.0,0.0,169.0,169.0,0.0,0.0
4.0,2.0,0.0,162.0,166.0,0.0,1.0
7.0,1.0,0.0,168.0,169.0,0.0,0.0
0.0,3.0,0.0,169.0,168.0,0.0,5.0
0.0,0.0,2.0,170.0,169.0,0.0,3.0
0.0,0.0,0.0,170.0,159.0,0.0,5.0
0.0,1.0,0.0,169.0,169.0,0.0,1.0
0.0,3.0,1.0,180.0,174.0,1.0,11.0
2.0,0.0,0.0,169.0,169.0,14.0,0.0
1.0,0.0,4.0,171.0,168.0,0.0,4.0
0.0,1.0,0.0,171.0,168.0,0.0,0.0
2.0,0.0,0.0,172.0,174.0,0.0,0.0
0.0,0.0,0.0,166.0,169.0,0.0,0.0
1.0,3.0,0.0,170.0,173.0,0.0,0.0
2.0,0.0,0.0,167.0,171.0,0.0,0.0
0.0,1.0,0.0,170.0,169.0,2.0,0.0
1.0,0.0,0.0,168.0,170.0,1.0,0.0
1.0,0.0,0.0,170.0,173.0,0.0,1.0
0.0,0.0,0.0,172.0,170.0,0.0,0.0
1.0,0.0,0.0,170.0,169.0,0.0,0.0
2.0,2.0,0.0,169.0,170.0,1.0,0.0
0.0,1.0,0.0,169.0,170.0,1.0,0.0
6.0,2.0,0.0,174.0,171.0,0.0,0.0
0.0,0.0,0.0,170.0,169.0,0.0,0.0
0.0,7.0,1.0,177.0,169.0,0.0,19.0
0.0,2.0,0.0,168.0,175.0,0.0,0.0
1.0,0.0,0.0,170.0,169.0,0.0,0.0
0.0,1.0,1.0,169.0,166.0,0.0,0.0
0.0,8.0,0.0,166.0,170.0,0.0,0.0
18.0,0.0,0.0,169.0,169.0,0.0,0.0
0.0,3.0,0.0,170.0,169.0,0.0,0.0
0.0,2.0,5.0,169.0,189.0,0.0,15.0
1.0,0.0,0.0,166.0,170.0,0.0,1.0
2.0,1.0,0.0,170.0,169.0,0.0,0.0
0.0,0.0,0.0,172.0,171.0,0.0,0.0
2.0,0.0,0.0,170.0,169.0,0.0,2.0
6.0,0.0,0.0,170.0,169.0,0.0,0.0
2.0,0.0,6.0,170.0,170.0,0.0,0.0
0.0,1.0,0.0,170.0,170.0,0.0,0.0
1.0,1.0,0.0,170.0,172.0,0.0,5.0
2.0,0.0,0.0,170.0,173.0,0.0,2.0
0.0,0.0,0.0,170.0,166.0,17.0,0.0
4.0,0.0,0.0,171.0,171.0,2.0,15.0
0.0,7.0,1.0,169.0,170.0,0.0,0.0
14.0,0.0,0.0,170.0,169.0,0.0,1.0
0.0,2.0,0.0,171.0,171.0,1.0,0.0
0.0,0.0,1.0,172.0,170.0,11.0,0.0
0.0,0.0,0.0,172.0,190.0,8.0,4.0
2.0,0.0,27.0,170.0,168.0,0.0,0.0
0.0,1.0,5.0,171.0,171.0,0.0,1.0
21.0,3.0,0.0,170.0,170.0,0.0,0.0
0.0,0.0,1.0,172.0,169.0,0.0,0.0
0.0,0.0,1.0,171.0,170.0,0.0,1.0
1.0,0.0,0.0,171.0,173.0,0.0,0.0
1.0,0.0,2.0,170.0,170.0,0.0,0.0
0.0,0.0,0.0,171.0,168.0,0.0,0.0
0.0,0.0,0.0,169.0,171.0,0.0,2.0
0.0,0.0,0.0,169.0,169.0,1.0,0.0
0.0,2.0,0.0,170.0,170.0,1.0,0.0
7.0,0.0,0.0,170.0,189.0,0.0,8.0
1.0,2.0,0.0,168.0,171.0,1.0,2.0
0.0,2.0,0.0,170.0,169.0,0.0,0.0
