MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
268.0,598.0,417.0,316.0,286.0,42.0,269.0
232.0,524.0,364.0,296.0,271.0,37.0,231.0
232.0,523.0,366.0,316.0,271.0,55.0,231.0
232.0,529.0,362.0,296.0,272.0,53.0,229.0
229.0,521.0,360.0,293.0,270.0,34.0,226.0
225.0,508.0,359.0,293.0,269.0,37.0,225.0
226.0,515.0,357.0,292.0,279.0,37.0,224.0
227.0,516.0,354.0,287.0,265.0,36.0,211.0
224.0,511.0,353.0,288.0,277.0,36.0,222.0
221.0,509.0,350.0,290.0,268.0,54.0,221.0
220.0,508.0,353.0,290.0,269.0,34.0,220.0
218.0,508.0,349.0,289.0,266.0,34.0,218.0
214.0,506.0,348.0,289.0,285.0,34.0,217.0
217.0,497.0,347.0,286.0,272.0,38.0,216.0
216.0,497.0,347.0,287.0,266.0,34.0,215.0
220.0,497.0,345.0,286.0,267.0,34.0,215.0
214.0,494.0,345.0,287.0,265.0,35.0,213.0
212.0,490.0,343.0,284.0,263.0,31.0,212.0
218.0,495.0,342.0,286.0,266.0,36.0,212.0
212.0,491.0,342.0,286.0,267.0,32.0,212.0
210.0,488.0,340.0,285.0,261.0,33.0,211.0
209.0,487.0,341.0,285.0,266.0,30.0,211.0
209.0,484.0,338.0,291.0,265.0,34.0,211.0
208.0,485.0,339.0,284.0,264.0,33.0,210.0
204.0,479.0,335.0,284.0,263.0,31.0,208.0
198.0,467.0,330.0,282.0,261.0,31.0,202.0
196.0,467.0,331.0,281.0,263.0,30.0,201.0
198.0,463.0,327.0,280.0,260.0,28.0,200.0
197.0,463.0,327.0,280.0,260.0,42.0,201.0
197.0,461.0,326.0,274.0,273.0,29.0,199.0
197.0,467.0,326.0,278.0,258.0,30.0,201.0
196.0,457.0,324.0,280.0,259.0,35.0,198.0
194.0,454.0,322.0,280.0,256.0,29.0,198.0
193.0,454.0,321.0,279.0,258.0,28.0,199.0
195.0,452.0,328.0,277.0,258.0,28.0,195.0
194.0,450.0,318.0,278.0,258.0,19.0,197.0
194.0,449.0,318.0,277.0,258.0,26.0,196.0
191.0,449.0,320.0,276.0,262.0,27.0,197.0
193.0,446.0,318.0,275.0,257.0,28.0,196.0
188.0,445.0,320.0,277.0,257.0,28.0,194.0
187.0,443.0,318.0,275.0,257.0,28.0,195.0
188.0,445.0,317.0,278.0,257.0,27.0,194.0
189.0,441.0,315.0,271.0,256.0,27.0,194.0
189.0,441.0,318.0,275.0,257.0,29.0,186.0
188.0,441.0,318.0,276.0,257.0,27.0,193.0
186.0,438.0,316.0,276.0,258.0,27.0,191.0
187.0,440.0,315.0,275.0,257.0,27.0,192.0
186.0,437.0,315.0,275.0,256.0,53.0,191.0
183.0,433.0,317.0,275.0,256.0,26.0,193.0
187.0,437.0,314.0,276.0,256.0,28.0,194.0
189.0,427.0,318.0,275.0,279.0,28.0,194.0
183.0,436.0,317.0,285.0,259.0,25.0,191.0
183.0,435.0,316.0,276.0,259.0,29.0,202.0
184.0,432.0,315.0,274.0,254.0,26.0,191.0
184.0,428.0,316.0,278.0,256.0,26.0,193.0
184.0,430.0,314.0,277.0,256.0,33.0,192.0
192.0,451.0,329.0,283.0,283.0,29.0,200.0
193.0,465.0,332.0,283.0,262.0,30.0,204.0
198.0,465.0,335.0,282.0,261.0,26.0,205.0
194.0,457.0,337.0,283.0,264.0,29.0,205.0
194.0,453.0,337.0,282.0,262.0,28.0,207.0
195.0,458.0,339.0,279.0,262.0,27.0,206.0
196.0,456.0,340.0,283.0,263.0,28.0,208.0
197.0,459.0,337.0,297.0,263.0,28.0,208.0
198.0,455.0,339.0,285.0,263.0,28.0,207.0
197.0,454.0,341.0,284.0,263.0,29.0,212.0
193.0,456.0,342.0,288.0,261.0,27.0,211.0
197.0,457.0,341.0,285.0,253.0,28.0,210.0
196.0,456.0,342.0,287.0,266.0,28.0,218.0
200.0,455.0,344.0,287.0,279.0,28.0,213.0
199.0,457.0,345.0,284.0,265.0,27.0,210.0
198.0,454.0,343.0,289.0,265.0,28.0,212.0
199.0,456.0,344.0,286.0,263.0,29.0,211.0
199.0,457.0,342.0,287.0,265.0,28.0,211.0
200.0,450.0,346.0,287.0,261.0,28.0,213.0
200.0,478.0,346.0,288.0,271.0,28.0,212.0
200.0,453.0,333.0,286.0,266.0,34.0,217.0
201.0,455.0,346.0,286.0,265.0,30.0,215.0
201.0,459.0,349.0,287.0,266.0,32.0,217.0
200.0,455.0,375.0,287.0,264.0,28.0,213.0
199.0,455.0,346.0,288.0,268.0,27.0,214.0
200.0,461.0,347.0,287.0,268.0,27.0,214.0
200.0,450.0,372.0,287.0,265.0,25.0,229.0
201.0,481.0,347.0,288.0,262.0,28.0,214.0
203.0,453.0,346.0,291.0,265.0,29.0,214.0
202.0,455.0,352.0,288.0,265.0,28.0,221.0
201.0,451.0,346.0,288.0,265.0,28.0,215.0
202.0,449.0,350.0,287.0,266.0,26.0,215.0
201.0,453.0,348.0,289.0,265.0,29.0,215.0
203.0,454.0,346.0,287.0,267.0,29.0,215.0
203.0,474.0,347.0,288.0,265.0,28.0,215.0
199.0,449.0,348.0,290.0,264.0,29.0,215.0
205.0,456.0,347.0,293.0,266.0,29.0,216.0
211.0,450.0,347.0,297.0,265.0,30.0,216.0
204.0,451.0,349.0,283.0,263.0,29.0,215.0
202.0,450.0,349.0,288.0,266.0,29.0,216.0
202.0,453.0,347.0,286.0,266.0,26.0,216.0
203.0,449.0,349.0,288.0,266.0,28.0,216.0
210.0,447.0,349.0,289.0,268.0,27.0,214.0
204.0,452.0,350.0,286.0,273.0,28.0,213.0
203.0,444.0,352.0,299.0,266.0,29.0,216.0
203.0,449.0,352.0,289.0,266.0,29.0,213.0
204.0,454.0,356.0,289.0,264.0,29.0,217.0
205.0,452.0,355.0,290.0,269.0,28.0,212.0
203.0,446.0,362.0,288.0,270.0,25.0,222.0
206.0,448.0,365.0,292.0,267.0,27.0,220.0
204.0,449.0,365.0,307.0,269.0,32.0,223.0
206.0,448.0,367.0,290.0,269.0,29.0,227.0
206.0,452.0,371.0,296.0,268.0,28.0,227.0
205.0,452.0,376.0,297.0,271.0,29.0,228.0
205.0,449.0,377.0,300.0,271.0,27.0,232.0
203.0,443.0,387.0,298.0,271.0,32.0,230.0
207.0,453.0,384.0,302.0,273.0,43.0,238.0
211.0,458.0,380.0,302.0,270.0,29.0,241.0
209.0,457.0,392.0,304.0,297.0,30.0,239.0
209.0,458.0,421.0,307.0,274.0,29.0,241.0
206.0,456.0,395.0,305.0,276.0,53.0,244.0
212.0,473.0,431.0,307.0,274.0,30.0,247.0
201.0,450.0,402.0,329.0,274.0,40.0,244.0
210.0,459.0,405.0,309.0,277.0,30.0,250.0
214.0,460.0,408.0,326.0,277.0,29.0,249.0
212.0,460.0,412.0,312.0,278.0,30.0,252.0
213.0,462.0,417.0,313.0,277.0,31.0,253.0
214.0,462.0,415.0,313.0,278.0,42.0,255.0
223.0,471.0,418.0,314.0,279.0,30.0,256.0
216.0,460.0,419.0,316.0,278.0,30.0,256.0
216.0,466.0,424.0,321.0,280.0,30.0,258.0
215.0,464.0,425.0,319.0,283.0,31.0,256.0
216.0,468.0,433.0,322.0,281.0,31.0,263.0
217.0,470.0,431.0,319.0,294.0,30.0,260.0
218.0,469.0,429.0,323.0,281.0,31.0,262.0
217.0,473.0,435.0,323.0,277.0,31.0,266.0
217.0,468.0,437.0,324.0,281.0,32.0,270.0
218.0,475.0,438.0,328.0,282.0,32.0,266.0
220.0,473.0,442.0,324.0,282.0,32.0,268.0
244.0,472.0,468.0,327.0,283.0,32.0,270.0
218.0,476.0,442.0,334.0,283.0,32.0,272.0
218.0,470.0,451.0,327.0,283.0,31.0,271.0
224.0,471.0,453.0,328.0,283.0,33.0,274.0
221.0,474.0,449.0,329.0,281.0,31.0,280.0
222.0,479.0,450.0,329.0,282.0,33.0,276.0
222.0,476.0,449.0,330.0,305.0,32.0,275.0
222.0,476.0,452.0,342.0,284.0,32.0,277.0
223.0,475.0,455.0,331.0,288.0,32.0,278.0
223.0,480.0,455.0,331.0,284.0,35.0,280.0
224.0,479.0,455.0,328.0,283.0,36.0,276.0
222.0,476.0,456.0,332.0,286.0,31.0,278.0
228.0,479.0,459.0,332.0,282.0,34.0,280.0
226.0,481.0,460.0,335.0,285.0,33.0,278.0
224.0,477.0,459.0,333.0,285.0,32.0,280.0
227.0,485.0,462.0,333.0,285.0,32.0,280.0
225.0,478.0,461.0,334.0,285.0,33.0,283.0
226.0,480.0,460.0,335.0,289.0,34.0,281.0
225.0,480.0,463.0,337.0,288.0,46.0,281.0
225.0,485.0,465.0,337.0,288.0,31.0,308.0
229.0,482.0,468.0,335.0,285.0,33.0,292.0
227.0,483.0,466.0,344.0,286.0,30.0,286.0
245.0,485.0,466.0,336.0,285.0,62.0,284.0
228.0,486.0,467.0,338.0,286.0,32.0,284.0
