MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
594.0,870.0,710.0,636.0,441.0,235.0,582.0
544.0,800.0,656.0,591.0,415.0,215.0,531.0
542.0,806.0,655.0,590.0,413.0,213.0,534.0
544.0,798.0,654.0,587.0,413.0,207.0,528.0
541.0,798.0,651.0,587.0,413.0,212.0,529.0
539.0,798.0,652.0,585.0,411.0,207.0,525.0
536.0,794.0,648.0,584.0,403.0,208.0,528.0
537.0,794.0,651.0,581.0,409.0,206.0,522.0
536.0,796.0,644.0,582.0,409.0,204.0,524.0
530.0,790.0,644.0,602.0,407.0,207.0,522.0
530.0,792.0,639.0,578.0,406.0,199.0,517.0
548.0,789.0,642.0,588.0,403.0,196.0,514.0
527.0,787.0,637.0,575.0,405.0,196.0,518.0
530.0,797.0,640.0,575.0,404.0,197.0,509.0
525.0,782.0,633.0,572.0,405.0,194.0,509.0
523.0,786.0,630.0,572.0,402.0,192.0,508.0
523.0,778.0,627.0,573.0,401.0,192.0,512.0
526.0,780.0,633.0,569.0,399.0,191.0,504.0
522.0,775.0,634.0,563.0,401.0,189.0,505.0
520.0,778.0,629.0,568.0,394.0,189.0,513.0
519.0,776.0,629.0,582.0,398.0,188.0,500.0
516.0,776.0,627.0,565.0,397.0,187.0,501.0
519.0,775.0,627.0,565.0,401.0,185.0,499.0
515.0,773.0,623.0,582.0,392.0,185.0,497.0
519.0,756.0,649.0,565.0,384.0,184.0,498.0
518.0,767.0,623.0,562.0,395.0,184.0,494.0
514.0,769.0,624.0,562.0,395.0,182.0,493.0
511.0,766.0,622.0,561.0,402.0,184.0,489.0
512.0,766.0,622.0,562.0,393.0,179.0,492.0
512.0,763.0,620.0,566.0,400.0,179.0,492.0
512.0,765.0,614.0,561.0,393.0,180.0,491.0
511.0,766.0,618.0,560.0,393.0,178.0,489.0
515.0,763.0,631.0,558.0,393.0,179.0,488.0
512.0,758.0,618.0,556.0,392.0,174.0,488.0
508.0,760.0,617.0,557.0,391.0,178.0,487.0
510.0,759.0,617.0,555.0,392.0,176.0,482.0
506.0,759.0,613.0,554.0,391.0,175.0,485.0
507.0,764.0,615.0,557.0,391.0,174.0,481.0
507.0,756.0,614.0,554.0,389.0,173.0,485.0
506.0,759.0,613.0,556.0,387.0,172.0,483.0
505.0,754.0,613.0,554.0,391.0,174.0,486.0
507.0,762.0,612.0,553.0,389.0,193.0,482.0
502.0,752.0,611.0,554.0,391.0,189.0,500.0
506.0,749.0,610.0,551.0,390.0,170.0,480.0
504.0,748.0,612.0,549.0,395.0,171.0,484.0
503.0,749.0,609.0,550.0,387.0,170.0,490.0
503.0,747.0,606.0,549.0,389.0,189.0,484.0
501.0,750.0,608.0,550.0,387.0,169.0,476.0
501.0,747.0,607.0,551.0,387.0,168.0,483.0
504.0,754.0,613.0,544.0,388.0,170.0,479.0
508.0,762.0,615.0,552.0,390.0,169.0,493.0
507.0,755.0,613.0,554.0,389.0,166.0,484.0
502.0,754.0,613.0,554.0,389.0,169.0,478.0
505.0,759.0,612.0,552.0,391.0,167.0,480.0
499.0,744.0,611.0,552.0,391.0,169.0,507.0
503.0,780.0,612.0,552.0,389.0,168.0,478.0
504.0,749.0,611.0,557.0,388.0,167.0,477.0
501.0,749.0,610.0,554.0,388.0,168.0,478.0
503.0,747.0,610.0,543.0,388.0,167.0,478.0
499.0,748.0,608.0,547.0,389.0,166.0,477.0
500.0,750.0,610.0,549.0,387.0,164.0,478.0
504.0,749.0,611.0,551.0,387.0,166.0,477.0
501.0,748.0,607.0,551.0,388.0,165.0,475.0
499.0,742.0,607.0,550.0,406.0,165.0,473.0
501.0,746.0,613.0,548.0,388.0,166.0,477.0
503.0,755.0,609.0,547.0,386.0,164.0,476.0
503.0,750.0,610.0,559.0,386.0,164.0,474.0
497.0,747.0,614.0,549.0,385.0,165.0,489.0
498.0,742.0,612.0,548.0,396.0,163.0,475.0
499.0,743.0,610.0,549.0,387.0,164.0,469.0
499.0,743.0,607.0,551.0,386.0,166.0,477.0
497.0,740.0,605.0,548.0,388.0,162.0,476.0
