MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
288.0,561.0,667.0,449.0,330.0,96.0,477.0
255.0,499.0,597.0,415.0,309.0,85.0,422.0
255.0,494.0,601.0,415.0,310.0,84.0,423.0
252.0,489.0,595.0,412.0,309.0,85.0,417.0
252.0,486.0,588.0,409.0,306.0,83.0,415.0
247.0,477.0,587.0,408.0,305.0,77.0,410.0
248.0,477.0,584.0,408.0,303.0,83.0,405.0
241.0,473.0,581.0,427.0,303.0,79.0,391.0
241.0,468.0,575.0,403.0,303.0,75.0,402.0
241.0,466.0,571.0,402.0,301.0,81.0,399.0
259.0,460.0,573.0,402.0,301.0,75.0,397.0
238.0,460.0,572.0,401.0,314.0,74.0,396.0
234.0,452.0,569.0,399.0,299.0,73.0,393.0
233.0,470.0,575.0,398.0,297.0,76.0,390.0
230.0,449.0,565.0,396.0,300.0,71.0,389.0
232.0,445.0,593.0,398.0,298.0,75.0,388.0
231.0,445.0,558.0,395.0,297.0,82.0,387.0
227.0,443.0,560.0,391.0,299.0,70.0,385.0
227.0,438.0,559.0,389.0,294.0,70.0,383.0
228.0,435.0,558.0,396.0,296.0,72.0,384.0
225.0,431.0,558.0,390.0,295.0,70.0,382.0
230.0,432.0,554.0,392.0,295.0,68.0,375.0
225.0,428.0,555.0,397.0,297.0,70.0,379.0
215.0,429.0,556.0,389.0,295.0,68.0,380.0
223.0,426.0,551.0,389.0,297.0,65.0,377.0
224.0,420.0,553.0,390.0,295.0,68.0,378.0
226.0,421.0,557.0,386.0,294.0,58.0,376.0
223.0,420.0,552.0,390.0,296.0,66.0,375.0
221.0,416.0,551.0,392.0,296.0,65.0,377.0
221.0,419.0,552.0,388.0,294.0,64.0,375.0
219.0,426.0,553.0,388.0,295.0,77.0,374.0
220.0,416.0,558.0,390.0,293.0,64.0,375.0
220.0,418.0,557.0,389.0,294.0,64.0,375.0
218.0,415.0,557.0,383.0,294.0,63.0,377.0
228.0,404.0,553.0,388.0,294.0,60.0,374.0
222.0,412.0,547.0,388.0,295.0,62.0,376.0
218.0,413.0,552.0,403.0,292.0,63.0,375.0
229.0,408.0,553.0,388.0,292.0,62.0,377.0
217.0,412.0,551.0,387.0,291.0,64.0,379.0
216.0,413.0,553.0,387.0,294.0,62.0,380.0
217.0,420.0,553.0,387.0,295.0,62.0,377.0
210.0,412.0,550.0,393.0,296.0,60.0,386.0
217.0,412.0,553.0,388.0,293.0,61.0,378.0
214.0,409.0,554.0,385.0,294.0,61.0,379.0
216.0,407.0,552.0,386.0,293.0,57.0,378.0
215.0,405.0,553.0,386.0,293.0,73.0,378.0
214.0,406.0,547.0,385.0,292.0,60.0,377.0
215.0,406.0,553.0,386.0,292.0,60.0,376.0
216.0,405.0,553.0,384.0,294.0,60.0,376.0
214.0,405.0,554.0,384.0,293.0,54.0,363.0
215.0,403.0,552.0,386.0,292.0,59.0,374.0
212.0,405.0,553.0,380.0,294.0,59.0,377.0
214.0,402.0,552.0,385.0,292.0,61.0,377.0
211.0,401.0,552.0,385.0,291.0,59.0,376.0
211.0,398.0,548.0,384.0,290.0,52.0,374.0
212.0,398.0,551.0,383.0,292.0,58.0,374.0
211.0,394.0,548.0,384.0,292.0,55.0,373.0
212.0,396.0,547.0,385.0,293.0,75.0,372.0
213.0,395.0,576.0,383.0,291.0,57.0,369.0
212.0,385.0,548.0,381.0,291.0,59.0,368.0
212.0,393.0,549.0,386.0,289.0,57.0,370.0
227.0,393.0,548.0,383.0,290.0,60.0,372.0
209.0,388.0,548.0,383.0,290.0,61.0,368.0
207.0,391.0,575.0,382.0,291.0,56.0,369.0
208.0,392.0,552.0,382.0,290.0,55.0,368.0
208.0,390.0,545.0,394.0,291.0,56.0,372.0
210.0,388.0,544.0,381.0,290.0,58.0,369.0
208.0,385.0,545.0,381.0,292.0,55.0,370.0
209.0,386.0,542.0,379.0,290.0,60.0,366.0
209.0,385.0,548.0,382.0,289.0,56.0,368.0
210.0,387.0,546.0,380.0,288.0,57.0,386.0
210.0,384.0,544.0,385.0,289.0,59.0,371.0
227.0,385.0,545.0,377.0,288.0,55.0,370.0
207.0,382.0,543.0,381.0,299.0,56.0,371.0
209.0,383.0,544.0,379.0,290.0,75.0,365.0
211.0,383.0,552.0,381.0,292.0,57.0,363.0
207.0,377.0,541.0,381.0,295.0,56.0,365.0
202.0,379.0,542.0,380.0,288.0,56.0,366.0
209.0,382.0,542.0,380.0,289.0,57.0,367.0
207.0,380.0,550.0,382.0,290.0,55.0,367.0
209.0,381.0,543.0,382.0,287.0,54.0,367.0
208.0,377.0,545.0,382.0,285.0,54.0,364.0
206.0,381.0,542.0,379.0,289.0,54.0,365.0
207.0,376.0,540.0,379.0,287.0,55.0,364.0
207.0,380.0,540.0,380.0,288.0,57.0,363.0
211.0,379.0,542.0,379.0,289.0,56.0,363.0
206.0,375.0,540.0,382.0,294.0,55.0,364.0
219.0,375.0,541.0,380.0,289.0,54.0,361.0
208.0,374.0,540.0,378.0,288.0,49.0,361.0
208.0,376.0,540.0,377.0,287.0,53.0,362.0
209.0,372.0,540.0,378.0,285.0,54.0,360.0
207.0,372.0,542.0,379.0,286.0,55.0,361.0
207.0,370.0,539.0,377.0,287.0,59.0,361.0
203.0,370.0,532.0,378.0,287.0,55.0,361.0
213.0,371.0,536.0,379.0,288.0,55.0,363.0
207.0,369.0,535.0,380.0,288.0,54.0,360.0
205.0,368.0,549.0,378.0,287.0,54.0,361.0
203.0,369.0,537.0,378.0,289.0,49.0,366.0
205.0,381.0,534.0,378.0,286.0,54.0,354.0
203.0,361.0,533.0,377.0,285.0,53.0,361.0
205.0,373.0,535.0,373.0,286.0,54.0,358.0
203.0,363.0,533.0,376.0,288.0,55.0,359.0
207.0,364.0,534.0,375.0,289.0,54.0,359.0
203.0,364.0,534.0,377.0,287.0,53.0,358.0
203.0,363.0,535.0,375.0,285.0,57.0,358.0
209.0,356.0,541.0,377.0,285.0,61.0,360.0
205.0,361.0,536.0,377.0,290.0,54.0,357.0
207.0,361.0,535.0,388.0,289.0,53.0,358.0
214.0,366.0,536.0,380.0,289.0,53.0,363.0
205.0,364.0,533.0,377.0,287.0,54.0,355.0
206.0,358.0,535.0,375.0,287.0,53.0,357.0
205.0,358.0,534.0,377.0,305.0,54.0,358.0
198.0,362.0,535.0,378.0,288.0,54.0,361.0
206.0,360.0,533.0,378.0,286.0,55.0,355.0
206.0,359.0,561.0,377.0,286.0,80.0,350.0
206.0,358.0,648.0,383.0,286.0,57.0,375.0
209.0,389.0,713.0,422.0,288.0,60.0,497.0
212.0,442.0,739.0,453.0,322.0,66.0,582.0
222.0,501.0,763.0,485.0,326.0,73.0,622.0
232.0,553.0,770.0,515.0,351.0,79.0,648.0
240.0,596.0,782.0,532.0,376.0,84.0,669.0
250.0,631.0,790.0,544.0,396.0,90.0,683.0
260.0,663.0,792.0,552.0,416.0,95.0,687.0
267.0,688.0,791.0,554.0,435.0,98.0,699.0
277.0,707.0,798.0,559.0,439.0,101.0,716.0
284.0,724.0,804.0,563.0,448.0,104.0,702.0
290.0,736.0,809.0,570.0,451.0,109.0,709.0
297.0,750.0,813.0,576.0,455.0,114.0,717.0
304.0,758.0,813.0,584.0,458.0,119.0,726.0
309.0,769.0,819.0,585.0,467.0,123.0,730.0
317.0,777.0,823.0,589.0,474.0,127.0,732.0
322.0,785.0,825.0,593.0,476.0,130.0,735.0
329.0,793.0,841.0,595.0,481.0,133.0,744.0
334.0,796.0,830.0,600.0,486.0,162.0,742.0
339.0,804.0,831.0,601.0,489.0,139.0,749.0
345.0,805.0,833.0,603.0,490.0,143.0,748.0
349.0,815.0,845.0,607.0,491.0,146.0,748.0
354.0,819.0,839.0,608.0,495.0,148.0,748.0
360.0,820.0,841.0,607.0,497.0,153.0,754.0
359.0,822.0,844.0,607.0,497.0,154.0,762.0
361.0,837.0,855.0,609.0,498.0,155.0,754.0
366.0,832.0,846.0,609.0,498.0,158.0,758.0
365.0,836.0,847.0,608.0,498.0,175.0,754.0
368.0,840.0,844.0,610.0,497.0,181.0,755.0
362.0,840.0,848.0,611.0,499.0,165.0,756.0
372.0,840.0,850.0,607.0,499.0,164.0,757.0
373.0,843.0,848.0,608.0,496.0,168.0,758.0
371.0,849.0,849.0,604.0,495.0,168.0,752.0
372.0,850.0,854.0,605.0,495.0,168.0,753.0
372.0,854.0,851.0,622.0,492.0,171.0,752.0
373.0,853.0,854.0,604.0,493.0,171.0,756.0
376.0,853.0,876.0,597.0,488.0,172.0,754.0
372.0,856.0,844.0,619.0,490.0,171.0,751.0
374.0,854.0,851.0,597.0,488.0,173.0,747.0
375.0,859.0,853.0,596.0,485.0,173.0,747.0
373.0,860.0,853.0,594.0,486.0,176.0,743.0
370.0,860.0,853.0,594.0,480.0,177.0,740.0
370.0,863.0,854.0,589.0,479.0,174.0,737.0
368.0,865.0,853.0,588.0,479.0,172.0,736.0
367.0,858.0,850.0,584.0,471.0,173.0,733.0
365.0,861.0,848.0,581.0,472.0,172.0,729.0
366.0,864.0,846.0,579.0,468.0,167.0,722.0
364.0,866.0,847.0,580.0,469.0,191.0,720.0
362.0,864.0,844.0,573.0,465.0,190.0,713.0
358.0,863.0,841.0,572.0,465.0,171.0,710.0
359.0,865.0,844.0,564.0,463.0,175.0,706.0
357.0,869.0,836.0,565.0,458.0,171.0,698.0
355.0,867.0,832.0,564.0,452.0,164.0,694.0
356.0,867.0,846.0,565.0,449.0,171.0,685.0
354.0,868.0,825.0,561.0,472.0,171.0,682.0
350.0,870.0,809.0,560.0,445.0,170.0,670.0
347.0,872.0,815.0,554.0,438.0,170.0,670.0
343.0,869.0,810.0,552.0,431.0,168.0,656.0
346.0,876.0,804.0,550.0,431.0,167.0,649.0
345.0,871.0,799.0,547.0,428.0,176.0,639.0
340.0,874.0,792.0,564.0,424.0,166.0,628.0
342.0,876.0,788.0,544.0,422.0,165.0,618.0
339.0,875.0,779.0,542.0,417.0,178.0,608.0
337.0,876.0,773.0,537.0,410.0,164.0,598.0
333.0,876.0,767.0,534.0,413.0,160.0,588.0
336.0,878.0,758.0,527.0,408.0,163.0,578.0
333.0,880.0,751.0,531.0,406.0,163.0,566.0
331.0,876.0,740.0,525.0,398.0,161.0,555.0
330.0,878.0,737.0,523.0,396.0,159.0,542.0
330.0,878.0,739.0,523.0,392.0,160.0,549.0
325.0,870.0,724.0,516.0,411.0,158.0,519.0
325.0,881.0,714.0,514.0,399.0,158.0,508.0
