MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
426.0,771.0,680.0,519.0,408.0,120.0,532.0
395.0,729.0,644.0,490.0,391.0,119.0,495.0
392.0,727.0,645.0,488.0,385.0,114.0,494.0
390.0,726.0,644.0,486.0,387.0,114.0,492.0
388.0,725.0,657.0,482.0,378.0,134.0,489.0
384.0,721.0,642.0,483.0,392.0,115.0,484.0
388.0,722.0,641.0,482.0,375.0,107.0,488.0
381.0,718.0,632.0,482.0,377.0,110.0,486.0
383.0,716.0,636.0,477.0,377.0,113.0,486.0
381.0,717.0,638.0,478.0,376.0,111.0,483.0
374.0,714.0,636.0,476.0,375.0,110.0,484.0
379.0,731.0,636.0,476.0,373.0,109.0,483.0
377.0,706.0,631.0,479.0,373.0,111.0,480.0
374.0,704.0,633.0,475.0,371.0,108.0,477.0
373.0,707.0,632.0,472.0,370.0,104.0,483.0
372.0,703.0,631.0,471.0,370.0,107.0,478.0
372.0,708.0,634.0,471.0,369.0,103.0,477.0
392.0,740.0,663.0,489.0,397.0,112.0,500.0
387.0,737.0,664.0,484.0,380.0,111.0,501.0
386.0,733.0,660.0,484.0,377.0,112.0,495.0
387.0,739.0,663.0,499.0,379.0,106.0,496.0
378.0,737.0,660.0,483.0,378.0,114.0,496.0
386.0,738.0,663.0,483.0,379.0,129.0,491.0
387.0,732.0,660.0,482.0,380.0,111.0,486.0
388.0,721.0,656.0,481.0,373.0,112.0,494.0
388.0,737.0,661.0,479.0,376.0,112.0,492.0
380.0,742.0,660.0,476.0,372.0,113.0,495.0
384.0,731.0,658.0,477.0,374.0,126.0,488.0
382.0,721.0,658.0,473.0,373.0,114.0,488.0
382.0,733.0,658.0,475.0,372.0,111.0,489.0
381.0,732.0,659.0,478.0,391.0,112.0,482.0
380.0,746.0,656.0,474.0,394.0,125.0,481.0
381.0,725.0,655.0,470.0,367.0,111.0,480.0
375.0,728.0,652.0,466.0,368.0,110.0,478.0
376.0,728.0,655.0,475.0,369.0,106.0,481.0
377.0,725.0,674.0,469.0,364.0,111.0,484.0
373.0,726.0,697.0,478.0,365.0,110.0,528.0
377.0,726.0,712.0,489.0,369.0,116.0,536.0
375.0,726.0,726.0,511.0,374.0,122.0,576.0
381.0,732.0,732.0,523.0,385.0,124.0,598.0
387.0,726.0,750.0,535.0,404.0,127.0,612.0
394.0,742.0,749.0,541.0,419.0,130.0,623.0
399.0,751.0,750.0,561.0,429.0,136.0,635.0
397.0,757.0,765.0,562.0,440.0,139.0,648.0
426.0,762.0,770.0,564.0,448.0,145.0,650.0
412.0,776.0,777.0,572.0,455.0,145.0,658.0
