MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
204.0,292.0,226.0,263.0,247.0,51.0,106.0
179.0,262.0,210.0,255.0,240.0,45.0,123.0
178.0,270.0,209.0,253.0,242.0,60.0,93.0
171.0,260.0,202.0,256.0,252.0,42.0,93.0
172.0,258.0,206.0,253.0,238.0,41.0,88.0
171.0,257.0,204.0,252.0,236.0,58.0,90.0
179.0,256.0,203.0,251.0,237.0,39.0,97.0
170.0,253.0,200.0,253.0,237.0,40.0,90.0
169.0,255.0,201.0,250.0,235.0,39.0,89.0
169.0,252.0,201.0,249.0,235.0,39.0,88.0
170.0,248.0,210.0,251.0,232.0,37.0,87.0
166.0,253.0,211.0,248.0,234.0,38.0,90.0
189.0,249.0,201.0,249.0,237.0,36.0,88.0
165.0,254.0,199.0,247.0,234.0,34.0,87.0
184.0,251.0,198.0,249.0,234.0,33.0,86.0
164.0,248.0,198.0,246.0,233.0,37.0,88.0
163.0,249.0,190.0,247.0,240.0,39.0,86.0
155.0,250.0,199.0,248.0,232.0,36.0,86.0
162.0,249.0,210.0,254.0,232.0,33.0,85.0
160.0,247.0,196.0,244.0,234.0,36.0,85.0
159.0,248.0,198.0,247.0,232.0,35.0,92.0
163.0,250.0,197.0,248.0,232.0,36.0,88.0
160.0,252.0,199.0,249.0,232.0,34.0,87.0
159.0,252.0,199.0,247.0,235.0,34.0,89.0
158.0,241.0,199.0,248.0,232.0,35.0,86.0
156.0,250.0,198.0,247.0,231.0,35.0,86.0
158.0,251.0,198.0,248.0,238.0,36.0,86.0
157.0,263.0,199.0,247.0,232.0,35.0,88.0
157.0,256.0,204.0,247.0,229.0,36.0,86.0
154.0,247.0,201.0,251.0,232.0,34.0,83.0
155.0,252.0,201.0,249.0,236.0,32.0,88.0
157.0,247.0,202.0,247.0,234.0,34.0,84.0
154.0,250.0,201.0,247.0,234.0,33.0,87.0
153.0,252.0,202.0,247.0,231.0,33.0,86.0
158.0,251.0,201.0,247.0,232.0,33.0,87.0
156.0,249.0,206.0,248.0,233.0,34.0,85.0
155.0,249.0,201.0,245.0,233.0,34.0,86.0
158.0,247.0,202.0,245.0,231.0,33.0,85.0
153.0,250.0,218.0,247.0,228.0,33.0,86.0
152.0,251.0,201.0,247.0,231.0,32.0,89.0
156.0,250.0,202.0,247.0,232.0,40.0,85.0
168.0,251.0,203.0,243.0,231.0,34.0,87.0
152.0,248.0,203.0,247.0,233.0,32.0,88.0
154.0,252.0,202.0,245.0,233.0,34.0,84.0
152.0,253.0,204.0,260.0,231.0,33.0,86.0
170.0,253.0,203.0,247.0,231.0,33.0,88.0
160.0,247.0,203.0,246.0,233.0,33.0,89.0
154.0,256.0,206.0,246.0,232.0,33.0,87.0
153.0,256.0,204.0,252.0,232.0,33.0,86.0
153.0,247.0,203.0,248.0,236.0,34.0,90.0
152.0,247.0,203.0,246.0,234.0,31.0,88.0
155.0,248.0,206.0,246.0,233.0,33.0,88.0
153.0,249.0,231.0,250.0,232.0,29.0,87.0
152.0,249.0,207.0,247.0,230.0,33.0,89.0
152.0,249.0,205.0,247.0,231.0,28.0,87.0
150.0,248.0,206.0,255.0,232.0,32.0,88.0
153.0,253.0,220.0,264.0,235.0,31.0,95.0
140.0,247.0,206.0,250.0,232.0,33.0,88.0
152.0,248.0,208.0,248.0,231.0,58.0,90.0
151.0,246.0,207.0,246.0,231.0,32.0,86.0
150.0,245.0,218.0,250.0,232.0,31.0,90.0
151.0,250.0,210.0,249.0,232.0,32.0,92.0
151.0,248.0,205.0,247.0,233.0,31.0,88.0
151.0,248.0,206.0,248.0,232.0,31.0,87.0
151.0,250.0,203.0,250.0,232.0,32.0,83.0
149.0,248.0,206.0,264.0,237.0,34.0,88.0
156.0,252.0,210.0,250.0,232.0,21.0,88.0
150.0,248.0,227.0,251.0,230.0,32.0,88.0
150.0,246.0,207.0,246.0,231.0,31.0,88.0
148.0,249.0,207.0,247.0,232.0,31.0,89.0
151.0,248.0,207.0,246.0,232.0,32.0,89.0
148.0,249.0,209.0,248.0,233.0,40.0,90.0
151.0,248.0,207.0,244.0,233.0,31.0,88.0
148.0,248.0,207.0,243.0,223.0,39.0,91.0
150.0,247.0,205.0,248.0,233.0,33.0,90.0
149.0,247.0,211.0,249.0,243.0,31.0,89.0
148.0,246.0,218.0,247.0,235.0,32.0,89.0
150.0,247.0,208.0,246.0,232.0,31.0,90.0
150.0,249.0,209.0,247.0,234.0,33.0,89.0
152.0,248.0,211.0,246.0,234.0,32.0,89.0
149.0,246.0,210.0,241.0,232.0,30.0,94.0
160.0,247.0,209.0,247.0,236.0,33.0,89.0
152.0,246.0,210.0,248.0,232.0,30.0,89.0
146.0,245.0,208.0,249.0,232.0,28.0,90.0
150.0,246.0,208.0,249.0,230.0,30.0,88.0
148.0,245.0,199.0,247.0,232.0,31.0,89.0
149.0,240.0,207.0,247.0,231.0,28.0,89.0
143.0,238.0,201.0,244.0,231.0,29.0,85.0
137.0,233.0,200.0,241.0,229.0,30.0,83.0
141.0,228.0,196.0,244.0,229.0,30.0,86.0
140.0,240.0,201.0,253.0,230.0,24.0,84.0
140.0,233.0,200.0,247.0,229.0,29.0,84.0
