MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
456.0,626.0,498.0,464.0,329.0,240.0,299.0
390.0,541.0,431.0,424.0,307.0,209.0,257.0
394.0,546.0,434.0,421.0,307.0,208.0,255.0
396.0,543.0,432.0,421.0,303.0,203.0,253.0
394.0,544.0,431.0,419.0,304.0,201.0,243.0
393.0,541.0,432.0,417.0,305.0,202.0,243.0
387.0,537.0,427.0,416.0,302.0,200.0,247.0
389.0,535.0,428.0,415.0,305.0,198.0,246.0
384.0,532.0,424.0,413.0,304.0,196.0,241.0
381.0,526.0,416.0,411.0,322.0,194.0,243.0
380.0,530.0,417.0,411.0,304.0,192.0,241.0
382.0,523.0,420.0,407.0,303.0,190.0,241.0
376.0,522.0,420.0,407.0,302.0,188.0,238.0
375.0,518.0,417.0,402.0,299.0,186.0,238.0
374.0,519.0,419.0,406.0,300.0,184.0,238.0
370.0,515.0,420.0,415.0,297.0,179.0,240.0
372.0,516.0,419.0,407.0,304.0,183.0,239.0
370.0,514.0,418.0,403.0,301.0,180.0,240.0
369.0,513.0,420.0,403.0,301.0,175.0,243.0
370.0,513.0,419.0,397.0,300.0,178.0,238.0
368.0,533.0,422.0,403.0,299.0,175.0,236.0
366.0,512.0,421.0,403.0,301.0,174.0,237.0
364.0,509.0,421.0,407.0,301.0,174.0,237.0
360.0,503.0,420.0,402.0,301.0,173.0,238.0
364.0,503.0,418.0,399.0,299.0,166.0,236.0
358.0,503.0,422.0,400.0,298.0,170.0,238.0
359.0,489.0,418.0,400.0,300.0,171.0,236.0
358.0,501.0,422.0,399.0,300.0,182.0,241.0
350.0,491.0,419.0,400.0,309.0,165.0,239.0
354.0,501.0,421.0,398.0,299.0,162.0,237.0
355.0,496.0,419.0,397.0,301.0,165.0,239.0
353.0,496.0,425.0,398.0,297.0,165.0,242.0
357.0,499.0,427.0,399.0,309.0,164.0,241.0
376.0,520.0,453.0,422.0,308.0,174.0,255.0
377.0,529.0,465.0,424.0,311.0,183.0,268.0
378.0,527.0,457.0,417.0,311.0,174.0,260.0
379.0,532.0,467.0,420.0,313.0,174.0,261.0
383.0,532.0,463.0,430.0,315.0,173.0,261.0
381.0,558.0,466.0,442.0,309.0,176.0,265.0
379.0,529.0,486.0,420.0,312.0,171.0,266.0
376.0,532.0,539.0,444.0,310.0,177.0,301.0
390.0,530.0,589.0,483.0,314.0,185.0,373.0
393.0,541.0,625.0,520.0,328.0,197.0,431.0
414.0,556.0,652.0,553.0,345.0,209.0,472.0
434.0,587.0,670.0,582.0,362.0,223.0,501.0
456.0,609.0,686.0,600.0,394.0,236.0,532.0
483.0,635.0,696.0,619.0,414.0,251.0,540.0
510.0,658.0,703.0,626.0,430.0,264.0,558.0
527.0,680.0,714.0,636.0,442.0,275.0,570.0
544.0,700.0,714.0,651.0,451.0,286.0,583.0
566.0,713.0,722.0,653.0,462.0,297.0,599.0
578.0,724.0,727.0,664.0,470.0,306.0,614.0
590.0,742.0,733.0,669.0,480.0,315.0,614.0
610.0,746.0,744.0,673.0,486.0,326.0,620.0
611.0,770.0,738.0,675.0,495.0,334.0,625.0
626.0,773.0,741.0,680.0,497.0,341.0,629.0
638.0,776.0,742.0,681.0,531.0,352.0,636.0
642.0,787.0,746.0,683.0,509.0,359.0,636.0
648.0,792.0,751.0,684.0,515.0,367.0,642.0
