MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4
157.0,367.0,248.0,260.0,240.0,37.0,96.0
131.0,310.0,211.0,245.0,230.0,32.0,82.0
132.0,310.0,209.0,247.0,232.0,32.0,73.0
130.0,311.0,205.0,243.0,229.0,31.0,78.0
127.0,313.0,204.0,243.0,229.0,30.0,78.0
127.0,305.0,203.0,241.0,226.0,34.0,77.0
127.0,304.0,193.0,239.0,228.0,55.0,77.0
120.0,304.0,200.0,240.0,226.0,28.0,72.0
119.0,298.0,199.0,240.0,227.0,29.0,72.0
121.0,303.0,195.0,239.0,221.0,29.0,73.0
120.0,300.0,197.0,248.0,228.0,29.0,74.0
119.0,299.0,195.0,239.0,223.0,28.0,72.0
117.0,299.0,195.0,238.0,221.0,27.0,73.0
118.0,294.0,218.0,240.0,224.0,25.0,89.0
116.0,295.0,196.0,238.0,224.0,27.0,73.0
116.0,298.0,195.0,236.0,224.0,20.0,72.0
116.0,299.0,195.0,233.0,224.0,26.0,72.0
117.0,297.0,194.0,239.0,224.0,25.0,71.0
116.0,301.0,195.0,237.0,223.0,26.0,68.0
112.0,296.0,196.0,238.0,223.0,22.0,71.0
114.0,300.0,197.0,247.0,223.0,27.0,72.0
114.0,299.0,196.0,232.0,224.0,23.0,71.0
112.0,302.0,202.0,238.0,225.0,16.0,65.0
111.0,316.0,189.0,238.0,224.0,25.0,73.0
109.0,309.0,227.0,240.0,225.0,25.0,74.0
107.0,314.0,206.0,239.0,224.0,51.0,86.0
108.0,316.0,204.0,240.0,224.0,25.0,75.0
111.0,316.0,208.0,242.0,224.0,24.0,76.0
123.0,319.0,211.0,244.0,248.0,51.0,76.0
116.0,325.0,211.0,245.0,224.0,25.0,77.0
108.0,329.0,214.0,246.0,225.0,25.0,81.0
109.0,329.0,216.0,247.0,225.0,25.0,81.0
110.0,338.0,218.0,244.0,224.0,22.0,85.0
109.0,342.0,220.0,244.0,223.0,24.0,81.0
111.0,342.0,223.0,260.0,225.0,26.0,83.0
110.0,345.0,224.0,246.0,239.0,25.0,84.0
110.0,349.0,226.0,247.0,224.0,25.0,85.0
111.0,350.0,229.0,251.0,226.0,27.0,82.0
111.0,350.0,231.0,248.0,227.0,25.0,86.0
106.0,355.0,233.0,249.0,227.0,24.0,86.0
110.0,356.0,236.0,252.0,231.0,26.0,90.0
108.0,362.0,237.0,251.0,225.0,20.0,89.0
107.0,363.0,239.0,251.0,230.0,47.0,92.0
108.0,362.0,243.0,252.0,227.0,25.0,92.0
108.0,367.0,244.0,252.0,228.0,30.0,94.0
111.0,370.0,247.0,264.0,228.0,40.0,94.0
110.0,370.0,247.0,253.0,229.0,15.0,96.0
119.0,374.0,251.0,255.0,228.0,24.0,98.0
111.0,374.0,251.0,253.0,231.0,26.0,100.0
111.0,382.0,254.0,269.0,232.0,25.0,100.0
117.0,375.0,257.0,274.0,231.0,25.0,100.0
111.0,380.0,259.0,258.0,230.0,25.0,102.0
106.0,382.0,262.0,254.0,230.0,31.0,105.0
115.0,388.0,265.0,257.0,230.0,26.0,105.0
116.0,384.0,267.0,258.0,233.0,25.0,106.0
112.0,394.0,270.0,263.0,234.0,25.0,108.0
112.0,389.0,273.0,260.0,233.0,25.0,112.0
108.0,391.0,275.0,264.0,233.0,25.0,108.0
113.0,391.0,279.0,263.0,232.0,26.0,112.0
112.0,393.0,282.0,268.0,229.0,26.0,114.0
113.0,395.0,285.0,264.0,233.0,26.0,116.0
111.0,393.0,290.0,264.0,237.0,26.0,118.0
112.0,397.0,292.0,266.0,235.0,26.0,120.0
113.0,399.0,296.0,269.0,235.0,34.0,121.0
112.0,405.0,301.0,270.0,235.0,26.0,123.0
113.0,405.0,309.0,270.0,236.0,21.0,127.0
115.0,409.0,379.0,274.0,236.0,27.0,128.0
114.0,427.0,441.0,290.0,238.0,28.0,175.0
117.0,439.0,510.0,321.0,242.0,31.0,218.0
120.0,477.0,553.0,359.0,245.0,34.0,277.0
127.0,523.0,586.0,394.0,253.0,38.0,332.0
136.0,557.0,612.0,424.0,261.0,55.0,413.0
147.0,597.0,632.0,451.0,270.0,47.0,423.0
158.0,631.0,648.0,472.0,283.0,55.0,466.0
180.0,664.0,665.0,497.0,298.0,58.0,495.0
185.0,685.0,674.0,513.0,313.0,62.0,528.0
197.0,709.0,680.0,529.0,334.0,67.0,541.0
213.0,726.0,689.0,539.0,353.0,74.0,557.0
226.0,743.0,696.0,553.0,370.0,73.0,569.0
243.0,755.0,705.0,562.0,405.0,82.0,585.0
256.0,771.0,711.0,574.0,401.0,87.0,590.0
271.0,782.0,711.0,583.0,414.0,95.0,602.0
289.0,792.0,715.0,593.0,425.0,99.0,611.0
302.0,802.0,719.0,597.0,435.0,102.0,621.0
316.0,812.0,722.0,623.0,443.0,108.0,623.0
330.0,820.0,724.0,614.0,451.0,111.0,628.0
345.0,828.0,729.0,617.0,458.0,119.0,633.0
360.0,838.0,729.0,623.0,461.0,124.0,637.0
383.0,845.0,730.0,628.0,467.0,130.0,625.0
384.0,855.0,728.0,631.0,472.0,135.0,643.0
401.0,854.0,732.0,636.0,473.0,141.0,646.0
408.0,859.0,732.0,641.0,475.0,145.0,648.0
422.0,860.0,723.0,642.0,480.0,152.0,652.0
425.0,867.0,733.0,647.0,484.0,161.0,653.0
440.0,871.0,735.0,653.0,485.0,164.0,655.0
450.0,875.0,735.0,653.0,489.0,171.0,657.0
459.0,872.0,735.0,655.0,494.0,177.0,659.0
470.0,884.0,736.0,659.0,494.0,177.0,660.0
477.0,885.0,744.0,657.0,495.0,197.0,692.0
484.0,888.0,737.0,662.0,497.0,177.0,661.0
491.0,894.0,738.0,665.0,500.0,192.0,663.0
498.0,894.0,748.0,668.0,498.0,197.0,668.0
500.0,897.0,734.0,670.0,501.0,202.0,658.0
514.0,899.0,739.0,672.0,506.0,206.0,664.0
520.0,901.0,738.0,669.0,505.0,212.0,664.0
